StepId,RecordingId,ProcessId,TimeStamp,StepName,StepDescription,ApplicationProcessName,ApplicationParentWindowName,automation_step,NextStepId,label_EventName,label_EventId,rows,Process_Name,Connectors,ApplicationProcessNameStepName
0,2b71ac2c-e071-ec11-8943-0022481ea4d8,5477dec3-815c-ec11-8f8f-002248302213,2022-01-10T06:40:47+00:00,Select menu option in window,Firefox - 2 running windows in Quick Launch Bar,firefox,,"[""UIAutomationSelectMenuOption Control: appmask['Quick Launch Bar']['Firefox - 2 running windows']\n""]",2,Go to planner,46dc9780-94e5-494c-8ff9-dea67bb48c24,2957,approvals/planner,Planner,firefoxSelect menu option in window
1,2b71ac2c-e071-ec11-8943-0022481ea4d8,5477dec3-815c-ec11-8f8f-002248302213,2022-01-10T06:40:51+00:00,Click UI element in window,List Item 'General    (Private Browsing)' in List 'Task Switcher',firefox,Task Switcher,"[""UIAutomationClick Element: appmask['List \\'Task Switcher\\'']['List Item \\'General    (Private Browsing)\\''] ClickType: UIAutomationClickTypeLeftClick OffsetX: -34 OffsetY: 17 MousePositionRelativeToElement: UIAutomationRectangleEdgePointMiddleCenter\n""]",3,Go to planner,46dc9780-94e5-494c-8ff9-dea67bb48c24,2958,approvals/planner,Planner,firefoxClick UI element in window
2,2b71ac2c-e071-ec11-8943-0022481ea4d8,5477dec3-815c-ec11-8f8f-002248302213,2022-01-10T06:40:52+00:00,Press button in window,Button 'Open a new tab (Ctrl+T)' in Window 'General    (Private Browsing)',firefox,General (Name HelpDesk) | Microsoft Teams ‰ÛÓ Mozilla Firefox (Private Browsing),"[""UIAutomationPressButton Button: appmask['Window \\'General    (Private Browsing)\\'']['Button \\'Open a new tab (Ctrl+T)\\'']\n""]",4,Go to planner,46dc9780-94e5-494c-8ff9-dea67bb48c24,2959,approvals/planner,Planner,firefoxPress button in window
3,2b71ac2c-e071-ec11-8943-0022481ea4d8,5477dec3-815c-ec11-8f8f-002248302213,2022-01-10T06:40:56+00:00,Populate text field in window,Edit 'Search with Google or enter address' in Window 'Mozilla Firefox (Private Browsing)'; Text:'o365',firefox,Mozilla Firefox (Private Browsing),"[""UIAutomationPopulateTextField TextField: appmask['Window \\'Mozilla Firefox (Private Browsing)\\'']['Edit \\'Search with Google or enter address\\''] Text: 'o365' Mode: UIAutomationPopulateTextModeReplace ClickType: UIAutomationPopulateMouseClickTypeSingleClick\n""]",5,Go to planner,46dc9780-94e5-494c-8ff9-dea67bb48c24,2960,approvals/planner,Planner,firefoxPopulate text field in window
4,2b71ac2c-e071-ec11-8943-0022481ea4d8,5477dec3-815c-ec11-8f8f-002248302213,2022-01-10T06:40:57+00:00,Send keys,TextToSend:'{Return}',,,"['WAIT 2\n', ""MouseAndKeyboardSendKeys TextToSend: '{Return}'\n""]",6,Go to planner,46dc9780-94e5-494c-8ff9-dea67bb48c24,2961,approvals/planner,Planner,Send keys
5,2b71ac2c-e071-ec11-8943-0022481ea4d8,5477dec3-815c-ec11-8f8f-002248302213,2022-01-10T06:41:00+00:00,Click UI element in window,Hyperlink 'Office   officecom' in Window 'o365 -    (Private Browsing)',firefox,o365 - Google Search ‰ÛÓ Mozilla Firefox (Private Browsing),"[""UIAutomationClick Element: appmask['Window \\'o365 -    (Private Browsing)\\'']['Hyperlink \\'Office   officecom\\''] ClickType: UIAutomationClickTypeLeftClick OffsetX: -89 OffsetY: -8 MousePositionRelativeToElement: UIAutomationRectangleEdgePointBottomRight\n""]",7,Go to planner,46dc9780-94e5-494c-8ff9-dea67bb48c24,2962,approvals/planner,Planner,firefoxClick UI element in window
6,2b71ac2c-e071-ec11-8943-0022481ea4d8,5477dec3-815c-ec11-8f8f-002248302213,2022-01-10T06:41:11+00:00,Click UI element in window,Hyperlink 'Planner' in Window 'Microsoft    (Private Browsing)',firefox,Microsoft Office Home ‰ÛÓ Mozilla Firefox (Private Browsing),"[""UIAutomationClick Element: appmask['Window \\'Microsoft    (Private Browsing)\\'']['Hyperlink \\'Planner\\''] ClickType: UIAutomationClickTypeLeftClick OffsetX: 1 OffsetY: 13 MousePositionRelativeToElement: UIAutomationRectangleEdgePointTopCenter\n""]",8,Go to planner,46dc9780-94e5-494c-8ff9-dea67bb48c24,2963,approvals/planner,Planner,firefoxClick UI element in window
7,2b71ac2c-e071-ec11-8943-0022481ea4d8,5477dec3-815c-ec11-8f8f-002248302213,2022-01-10T06:41:21+00:00,Select menu option in window,Menu Item 'New plan' in Window 'Hub - Planner ‰ÛÓ Mozilla Firefox (Private Browsing)',firefox,Hub - Planner ‰ÛÓ Mozilla Firefox (Private Browsing),"[""UIAutomationSelectMenuOption Control: appmask['Window \\'Hub - Planner ‰ÛÓ Mozilla Firefox (Private Browsing)\\'']['Menu Item \\'New plan\\'']\n""]",9,Go to planner,46dc9780-94e5-494c-8ff9-dea67bb48c24,2964,approvals/planner,Planner,firefoxSelect menu option in window
8,2b71ac2c-e071-ec11-8943-0022481ea4d8,5477dec3-815c-ec11-8f8f-002248302213,2022-01-10T06:41:28+00:00,Populate text field in window,Edit 'Plan name' in Window 'Hub - Planner ‰ÛÓ Mozilla Firefox (Private Browsing)'; Text:'update',firefox,Hub - Planner ‰ÛÓ Mozilla Firefox (Private Browsing),"[""UIAutomationPopulateTextField TextField: appmask['Window \\'Hub - Planner ‰ÛÓ Mozilla Firefox (Private Browsing)\\'']['Edit \\'Plan name\\''] Text: 'update' Mode: UIAutomationPopulateTextModeReplace ClickType: UIAutomationPopulateMouseClickTypeSingleClick\n""]",10,Go to planner,46dc9780-94e5-494c-8ff9-dea67bb48c24,2965,approvals/planner,Planner,firefoxPopulate text field in window
9,2b71ac2c-e071-ec11-8943-0022481ea4d8,5477dec3-815c-ec11-8f8f-002248302213,2022-01-10T06:41:30+00:00,Press button in window,Button 'Choose a group for your plan' in Window 'Hub - Planner ‰ÛÓ Mozilla Firefox (Private Browsing)',firefox,Hub - Planner ‰ÛÓ Mozilla Firefox (Private Browsing),"[""UIAutomationPressButton Button: appmask['Window \\'Hub - Planner ‰ÛÓ Mozilla Firefox (Private Browsing)\\'']['Button \\'Choose a group for your plan\\'']\n""]",11,Go to planner,46dc9780-94e5-494c-8ff9-dea67bb48c24,2966,approvals/planner,Planner,firefoxPress button in window
10,2b71ac2c-e071-ec11-8943-0022481ea4d8,5477dec3-815c-ec11-8f8f-002248302213,2022-01-10T06:41:33+00:00,Click UI element in window,Image in Window 'Hub - Planner ‰ÛÓ Mozilla Firefox (Private Browsing)',firefox,Hub - Planner ‰ÛÓ Mozilla Firefox (Private Browsing),"[""UIAutomationClick Element: appmask['Window \\'Hub - Planner ‰ÛÓ Mozilla Firefox (Private Browsing)\\'']['Image'] ClickType: UIAutomationClickTypeLeftClick OffsetX: 19 OffsetY: -6 MousePositionRelativeToElement: UIAutomationRectangleEdgePointMiddleCenter\n""]",12,Go to planner,46dc9780-94e5-494c-8ff9-dea67bb48c24,2967,approvals/planner,Planner,firefoxClick UI element in window
11,2b71ac2c-e071-ec11-8943-0022481ea4d8,5477dec3-815c-ec11-8f8f-002248302213,2022-01-10T06:41:35+00:00,Press button in window,Button 'Create plan' in Window 'Hub - Planner ‰ÛÓ Mozilla Firefox (Private Browsing)',firefox,Hub - Planner ‰ÛÓ Mozilla Firefox (Private Browsing),"[""UIAutomationPressButton Button: appmask['Window \\'Hub - Planner ‰ÛÓ Mozilla Firefox (Private Browsing)\\'']['Button \\'Create plan\\'']\n""]",13,Go to planner,46dc9780-94e5-494c-8ff9-dea67bb48c24,2968,approvals/planner,Planner,firefoxPress button in window
12,2b71ac2c-e071-ec11-8943-0022481ea4d8,5477dec3-815c-ec11-8f8f-002248302213,2022-01-10T06:41:41+00:00,Press button in window,Button 'Add task card in To do column' in Window 'update -    (Private Browsing)',firefox,update - Planner ‰ÛÓ Mozilla Firefox (Private Browsing),"[""UIAutomationPressButton Button: appmask['Window \\'update -    (Private Browsing)\\'']['Button \\'Add task card in To do column\\'']\n""]",14,Create Tasks,ac22a216-aa9c-414a-8631-2048bb0a950b,2969,approvals/planner,Planner,firefoxPress button in window
13,2b71ac2c-e071-ec11-8943-0022481ea4d8,5477dec3-815c-ec11-8f8f-002248302213,2022-01-10T06:41:47+00:00,Populate text field in window,Edit 'Task name' in Window 'update -    (Private Browsing)'; Text:'Feedback',firefox,update - Planner ‰ÛÓ Mozilla Firefox (Private Browsing),"[""UIAutomationPopulateTextField TextField: appmask['Window \\'update -    (Private Browsing)\\'']['Edit \\'Task name\\''] Text: 'Feedback' Mode: UIAutomationPopulateTextModeReplace ClickType: UIAutomationPopulateMouseClickTypeSingleClick\n""]",15,Create Tasks,ac22a216-aa9c-414a-8631-2048bb0a950b,2970,approvals/planner,Planner,firefoxPopulate text field in window
14,2b71ac2c-e071-ec11-8943-0022481ea4d8,5477dec3-815c-ec11-8f8f-002248302213,2022-01-10T06:41:49+00:00,Press button in window,Button 'Set due date' in Window 'update -    (Private Browsing)',firefox,update - Planner ‰ÛÓ Mozilla Firefox (Private Browsing),"[""UIAutomationPressButton Button: appmask['Window \\'update -    (Private Browsing)\\'']['Button \\'Set due date\\'']\n""]",16,Create Tasks,ac22a216-aa9c-414a-8631-2048bb0a950b,2971,approvals/planner,Planner,firefoxPress button in window
15,2b71ac2c-e071-ec11-8943-0022481ea4d8,5477dec3-815c-ec11-8f8f-002248302213,2022-01-10T06:41:51+00:00,Click UI element in window,"Data Item 'January 21, 2022' in Window 'update -    (Private Browsing)'",firefox,update - Planner ‰ÛÓ Mozilla Firefox (Private Browsing),"[""UIAutomationClick Element: appmask['Window \\'update -    (Private Browsing)\\'']['Data Item \\'January 21, 2022\\''] ClickType: UIAutomationClickTypeLeftClick OffsetX: 2 OffsetY: 7 MousePositionRelativeToElement: UIAutomationRectangleEdgePointTopCenter\n""]",17,Create Tasks,ac22a216-aa9c-414a-8631-2048bb0a950b,2972,approvals/planner,Planner,firefoxClick UI element in window
16,2b71ac2c-e071-ec11-8943-0022481ea4d8,5477dec3-815c-ec11-8f8f-002248302213,2022-01-10T06:41:53+00:00,Press button in window,"Button 'Not assigned, Open to assign users to this task' in Window 'update -    (Private Browsing)'",firefox,update - Planner ‰ÛÓ Mozilla Firefox (Private Browsing),"[""UIAutomationPressButton Button: appmask['Window \\'update -    (Private Browsing)\\'']['Button \\'Not assigned, Open to assign users to this task\\'']\n""]",18,Create Tasks,ac22a216-aa9c-414a-8631-2048bb0a950b,2973,approvals/planner,Planner,firefoxPress button in window
17,2b71ac2c-e071-ec11-8943-0022481ea4d8,5477dec3-815c-ec11-8f8f-002248302213,2022-01-10T06:41:58+00:00,Populate text field in window,Edit 'Assignments' in Window 'update -    (Private Browsing)'; Text:'Name',firefox,update - Planner ‰ÛÓ Mozilla Firefox (Private Browsing),"[""UIAutomationPopulateTextField TextField: appmask['Window \\'update -    (Private Browsing)\\'']['Edit \\'Assignments\\''] Text: 'Name' Mode: UIAutomationPopulateTextModeReplace ClickType: UIAutomationPopulateMouseClickTypeSingleClick\n""]",19,Create Tasks,ac22a216-aa9c-414a-8631-2048bb0a950b,2974,approvals/planner,Planner,firefoxPopulate text field in window
18,2b71ac2c-e071-ec11-8943-0022481ea4d8,5477dec3-815c-ec11-8f8f-002248302213,2022-01-10T06:42:00+00:00,Click UI element in window,Edit 'Name Surname' in Window 'update -    (Private Browsing)',firefox,update - Planner ‰ÛÓ Mozilla Firefox (Private Browsing),"[""UIAutomationClick Element: appmask['Window \\'update -    (Private Browsing)\\'']['Edit \\'Name Surname\\''] ClickType: UIAutomationClickTypeLeftClick OffsetX: 8 OffsetY: 2 MousePositionRelativeToElement: UIAutomationRectangleEdgePointMiddleCenter\n""]",20,Create Tasks,ac22a216-aa9c-414a-8631-2048bb0a950b,2975,approvals/planner,Planner,firefoxClick UI element in window
