StepId,RecordingId,ProcessId,TimeStamp,StepName,StepDescription,ApplicationProcessName,ApplicationParentWindowName,automation_step,NextStepId,label_EventName,label_EventId,rows,ApplicationProcessNameStepName,Process_Name,Connectors
8,4bc34156-bb8f-ec11-b400-0022482f8e02,7a1f3fb7-5485-ec11-8d21-000d3a5712fa,2022-02-17T06:43:47+00:00,Press button in window,Firefox - 1 running window in Quick Launch Bar,,,"[""UIAutomationPressButton Button: appmask['Quick Launch Bar']['Firefox - 1 running window']\n""]",10,Open the BI tool,9df2e3b1-5d17-442d-8af9-88e4adc28eed,3625,Press button in window,Outlook/powerbi,Powerbi
9,4bc34156-bb8f-ec11-b400-0022482f8e02,7a1f3fb7-5485-ec11-8d21-000d3a5712fa,2022-02-17T06:43:51+00:00,Press button in window,Button 'Open a new tab (Ctrl+T)' in Window 'Process advisor | Power Automate â€” Mozilla Firefox',firefox,Process advisor | Power Automate â€” Mozilla Firefox,"[""UIAutomationPressButton Button: appmask['Window \\'Process advisor | Power Automate â€” Mozilla Firefox\\'']['Button \\'Open a new tab (Ctrl+T)\\'']\n""]",11,Open the BI tool,9df2e3b1-5d17-442d-8af9-88e4adc28eed,3626,firefoxPress button in window,Outlook/powerbi,Powerbi
10,4bc34156-bb8f-ec11-b400-0022482f8e02,7a1f3fb7-5485-ec11-8d21-000d3a5712fa,2022-02-17T06:43:57+00:00,Populate text field in window,Edit 'Search with Google or enter address' in Window 'Mozilla Firefox'; Text:'o365',firefox,Mozilla Firefox,"[""UIAutomationPopulateTextField TextField: appmask['Window \\'Mozilla Firefox\\'']['Edit \\'Search with Google or enter address\\''] Text: 'o365' Mode: UIAutomationPopulateTextModeReplace ClickType: UIAutomationPopulateMouseClickTypeSingleClick\n""]",12,Open the BI tool,9df2e3b1-5d17-442d-8af9-88e4adc28eed,3627,firefoxPopulate text field in window,Outlook/powerbi,Powerbi
11,4bc34156-bb8f-ec11-b400-0022482f8e02,7a1f3fb7-5485-ec11-8d21-000d3a5712fa,2022-02-17T06:43:58+00:00,Send keys,TextToSend:'{Return}',,,"['WAIT 2\n', ""MouseAndKeyboardSendKeys TextToSend: '{Return}'\n""]",13,Open the BI tool,9df2e3b1-5d17-442d-8af9-88e4adc28eed,3628,Send keys,Outlook/powerbi,Powerbi
12,4bc34156-bb8f-ec11-b400-0022482f8e02,7a1f3fb7-5485-ec11-8d21-000d3a5712fa,2022-02-17T06:44:03+00:00,Click UI element in window,Hyperlink 'Office   officecom' in Window 'o365 - Google Search â€” Mozilla Firefox',firefox,o365 - Google Search â€” Mozilla Firefox,"[""UIAutomationClick Element: appmask['Window \\'o365 - Google Search â€” Mozilla Firefox\\'']['Hyperlink \\'Office   officecom\\''] ClickType: UIAutomationClickTypeLeftClick OffsetX: 6 OffsetY: -15 MousePositionRelativeToElement: UIAutomationRectangleEdgePointBottomCenter\n""]",14,Open the BI tool,9df2e3b1-5d17-442d-8af9-88e4adc28eed,3629,firefoxClick UI element in window,Outlook/powerbi,Powerbi
13,4bc34156-bb8f-ec11-b400-0022482f8e02,7a1f3fb7-5485-ec11-8d21-000d3a5712fa,2022-02-17T06:44:13+00:00,Select menu option in window,Menu Item 'App launcher' in Window 'Microsoft Office Home â€” Mozilla Firefox',firefox,Microsoft Office Home â€” Mozilla Firefox,"[""UIAutomationSelectMenuOption Control: appmask['Window \\'Microsoft Office Home â€” Mozilla Firefox\\'']['Menu Item \\'App launcher\\'']\n""]",15,Open the BI tool,9df2e3b1-5d17-442d-8af9-88e4adc28eed,3630,firefoxSelect menu option in window,Outlook/powerbi,Powerbi
14,4bc34156-bb8f-ec11-b400-0022482f8e02,7a1f3fb7-5485-ec11-8d21-000d3a5712fa,2022-02-17T06:44:17+00:00,Press button in window,Button 'All apps' in Window 'Microsoft Office Home â€” Mozilla Firefox',firefox,Microsoft Office Home â€” Mozilla Firefox,"[""UIAutomationPressButton Button: appmask['Window \\'Microsoft Office Home â€” Mozilla Firefox\\'']['Button \\'All apps\\'']\n""]",16,Open the BI tool,9df2e3b1-5d17-442d-8af9-88e4adc28eed,3631,firefoxPress button in window,Outlook/powerbi,Powerbi
15,4bc34156-bb8f-ec11-b400-0022482f8e02,7a1f3fb7-5485-ec11-8d21-000d3a5712fa,2022-02-17T06:44:23+00:00,Populate text field in window,Edit 'Search all of    bar as you type' in Window 'Microsoft Office Home â€” Mozilla Firefox'; Text:'power',firefox,Microsoft Office Home â€” Mozilla Firefox,"[""UIAutomationPopulateTextField TextField: appmask['Window \\'Microsoft Office Home â€” Mozilla Firefox\\'']['Edit \\'Search all of    bar as you type\\''] Text: 'power' Mode: UIAutomationPopulateTextModeReplace ClickType: UIAutomationPopulateMouseClickTypeSingleClick\n""]",17,Open the BI tool,9df2e3b1-5d17-442d-8af9-88e4adc28eed,3632,firefoxPopulate text field in window,Outlook/powerbi,Powerbi
16,4bc34156-bb8f-ec11-b400-0022482f8e02,7a1f3fb7-5485-ec11-8d21-000d3a5712fa,2022-02-17T06:44:26+00:00,Click UI element in window,Hyperlink 'Power BI' in Window 'Microsoft Office Home â€” Mozilla Firefox',firefox,Microsoft Office Home â€” Mozilla Firefox,"[""UIAutomationClick Element: appmask['Window \\'Microsoft Office Home â€” Mozilla Firefox\\'']['Hyperlink \\'Power BI\\''] ClickType: UIAutomationClickTypeLeftClick OffsetX: 32 OffsetY: -5 MousePositionRelativeToElement: UIAutomationRectangleEdgePointMiddleLeft\n""]",18,Open the BI tool,9df2e3b1-5d17-442d-8af9-88e4adc28eed,3633,firefoxClick UI element in window,Outlook/powerbi,Powerbi
17,4bc34156-bb8f-ec11-b400-0022482f8e02,7a1f3fb7-5485-ec11-8d21-000d3a5712fa,2022-02-17T06:45:01+00:00,Click UI element in window,Hyperlink 'Get data' in Window 'Power BI â€” Mozilla Firefox',firefox,Power BI â€” Mozilla Firefox,"[""UIAutomationClick Element: appmask['Window \\'Power BI â€” Mozilla Firefox\\'']['Hyperlink \\'Get data\\''] ClickType: UIAutomationClickTypeLeftClick OffsetX: -31 OffsetY: -6 MousePositionRelativeToElement: UIAutomationRectangleEdgePointMiddleCenter\n""]",19,Open the BI tool,9df2e3b1-5d17-442d-8af9-88e4adc28eed,3634,firefoxClick UI element in window,Outlook/powerbi,Powerbi
