StepId,RecordingId,ProcessId,TimeStamp,StepName,StepDescription,ApplicationProcessName,ApplicationParentWindowName,automation_step,NextStepId,label_EventName,label_EventId,rows,ApplicationProcessNameStepName,Process_Name,Connectors
8,03f30e67-a393-ec11-b400-000d3a14d9b2,48704707-5685-ec11-8d21-000d3a571ab5,2022-02-22T05:53:00+00:00,Select menu option in window,Google Chrome - 2 running windows in Quick Launch Bar,,,"[""UIAutomationSelectMenuOption Control: appmask['Quick Launch Bar']['Google Chrome - 2 running windows']\n""]",10,Go to the forms app,2e20cb92-1a1d-421d-84da-d92d268f4527,1231,Select menu option in window,Microsoftforms/approvals/projectonline,Microsoftforms
9,03f30e67-a393-ec11-b400-000d3a14d9b2,48704707-5685-ec11-8d21-000d3a571ab5,2022-02-22T05:53:02+00:00,Click UI element in window,List Item 'New Tab - Google Chrome' in List 'Task Switcher',,Task Switcher,"[""UIAutomationClick Element: appmask['List \\'Task Switcher\\'']['List Item \\'New Tab - Google Chrome\\''] ClickType: UIAutomationClickTypeLeftClick OffsetX: 40 OffsetY: -32 MousePositionRelativeToElement: UIAutomationRectangleEdgePointBottomLeft\n""]",11,Go to the forms app,2e20cb92-1a1d-421d-84da-d92d268f4527,1232,Click UI element in window,Microsoftforms/approvals/projectonline,Microsoftforms
10,03f30e67-a393-ec11-b400-000d3a14d9b2,48704707-5685-ec11-8d21-000d3a571ab5,2022-02-22T05:53:08+00:00,Populate text field in window,Edit 'Address and search bar' in Pane 'New Tab - Google Chrome (Incognito)'; Text:'zoho forms',chrome,New Tab - Google Chrome (Incognito),"[""UIAutomationPopulateTextField TextField: appmask['Pane \\'New Tab - Google Chrome (Incognito)\\'']['Edit \\'Address and search bar\\''] Text: 'zoho forms' Mode: UIAutomationPopulateTextModeReplace ClickType: UIAutomationPopulateMouseClickTypeSingleClick\n""]",12,Go to the forms app,2e20cb92-1a1d-421d-84da-d92d268f4527,1233,chromePopulate text field in window,Microsoftforms/approvals/projectonline,Microsoftforms
11,03f30e67-a393-ec11-b400-000d3a14d9b2,48704707-5685-ec11-8d21-000d3a571ab5,2022-02-22T05:53:09+00:00,Send keys,TextToSend:'{Return}',,,"['WAIT 2\n', ""MouseAndKeyboardSendKeys TextToSend: '{Return}'\n""]",13,Go to the forms app,2e20cb92-1a1d-421d-84da-d92d268f4527,1234,Send keys,Microsoftforms/approvals/projectonline,Microsoftforms
12,03f30e67-a393-ec11-b400-000d3a14d9b2,48704707-5685-ec11-8d21-000d3a571ab5,2022-02-22T05:53:13+00:00,Click UI element in window,Hyperlink ' Form   om â€º forms' in Pane 'New Tab - Google Chrome (Incognito)',chrome,New Tab - Google Chrome (Incognito),"[""UIAutomationClick Element: appmask['Pane \\'New Tab - Google Chrome (Incognito)\\'']['Hyperlink \\' Form   om â€º forms\\''] ClickType: UIAutomationClickTypeLeftClick OffsetX: 109 OffsetY: 0 MousePositionRelativeToElement: UIAutomationRectangleEdgePointMiddleLeft\n""]",14,Go to the forms app,2e20cb92-1a1d-421d-84da-d92d268f4527,1235,chromeClick UI element in window,Microsoftforms/approvals/projectonline,Microsoftforms
13,03f30e67-a393-ec11-b400-000d3a14d9b2,48704707-5685-ec11-8d21-000d3a571ab5,2022-02-22T05:53:18+00:00,Click UI element in window,Hyperlink 'SIGN IN' in Pane 'New Tab - Google Chrome (Incognito)',chrome,New Tab - Google Chrome (Incognito),"[""UIAutomationClick Element: appmask['Pane \\'New Tab - Google Chrome (Incognito)\\'']['Hyperlink \\'SIGN IN\\''] ClickType: UIAutomationClickTypeLeftClick OffsetX: 0 OffsetY: -4 MousePositionRelativeToElement: UIAutomationRectangleEdgePointMiddleCenter\n""]",15,Go to the forms app,2e20cb92-1a1d-421d-84da-d92d268f4527,1236,chromeClick UI element in window,Microsoftforms/approvals/projectonline,Microsoftforms
14,03f30e67-a393-ec11-b400-000d3a14d9b2,48704707-5685-ec11-8d21-000d3a571ab5,2022-02-22T05:53:22+00:00,Press button in window,Button 'New Form' in Pane 'New Tab - Google Chrome (Incognito)',chrome,New Tab - Google Chrome (Incognito),"[""UIAutomationPressButton Button: appmask['Pane \\'New Tab - Google Chrome (Incognito)\\'']['Button \\'New Form\\'']\n""]",16,Go to the forms app,2e20cb92-1a1d-421d-84da-d92d268f4527,1237,chromePress button in window,Microsoftforms/approvals/projectonline,Microsoftforms
15,03f30e67-a393-ec11-b400-000d3a14d9b2,48704707-5685-ec11-8d21-000d3a571ab5,2022-02-22T05:53:26+00:00,Click UI element in window,List Item in Pane 'New Tab - Google Chrome (Incognito)',chrome,New Tab - Google Chrome (Incognito),"[""UIAutomationClick Element: appmask['Pane \\'New Tab - Google Chrome (Incognito)\\'']['List Item'] ClickType: UIAutomationClickTypeLeftClick OffsetX: 107 OffsetY: 9 MousePositionRelativeToElement: UIAutomationRectangleEdgePointTopLeft\n""]",17,Prepare a form,f2ac8bb3-f63c-4e80-9145-3933895c210f,1238,chromeClick UI element in window,Microsoftforms/approvals/projectonline,Microsoftforms
16,03f30e67-a393-ec11-b400-000d3a14d9b2,48704707-5685-ec11-8d21-000d3a571ab5,2022-02-22T05:53:28+00:00,Send keys,TextToSend:'{RShiftKey}(C)',,,"['WAIT 2\n', ""MouseAndKeyboardSendKeys TextToSend: '{RShiftKey}(C)'\n""]",18,Prepare a form,f2ac8bb3-f63c-4e80-9145-3933895c210f,1239,Send keys,Microsoftforms/approvals/projectonline,Microsoftforms
17,03f30e67-a393-ec11-b400-000d3a14d9b2,48704707-5685-ec11-8d21-000d3a571ab5,2022-02-22T05:53:37+00:00,Populate text field in window,Edit in Pane 'New Tab - Google Chrome (Incognito)'; Text:'Customer Request Form',chrome,New Tab - Google Chrome (Incognito),"[""UIAutomationPopulateTextField TextField: appmask['Pane \\'New Tab - Google Chrome (Incognito)\\'']['Edit'] Text: 'Customer Request Form' Mode: UIAutomationPopulateTextModeReplace ClickType: UIAutomationPopulateMouseClickTypeSingleClick\n""]",19,Prepare a form,f2ac8bb3-f63c-4e80-9145-3933895c210f,1240,chromePopulate text field in window,Microsoftforms/approvals/projectonline,Microsoftforms
18,03f30e67-a393-ec11-b400-000d3a14d9b2,48704707-5685-ec11-8d21-000d3a571ab5,2022-02-22T05:53:38+00:00,Click UI element in window,List Item 2 in Pane 'New Tab - Google Chrome (Incognito)',chrome,New Tab - Google Chrome (Incognito),"[""UIAutomationClick Element: appmask['Pane \\'New Tab - Google Chrome (Incognito)\\'']['List Item 2'] ClickType: UIAutomationClickTypeLeftClick OffsetX: 39 OffsetY: 0 MousePositionRelativeToElement: UIAutomationRectangleEdgePointMiddleLeft\n""]",20,Prepare a form,f2ac8bb3-f63c-4e80-9145-3933895c210f,1241,chromeClick UI element in window,Microsoftforms/approvals/projectonline,Microsoftforms
19,03f30e67-a393-ec11-b400-000d3a14d9b2,48704707-5685-ec11-8d21-000d3a571ab5,2022-02-22T05:53:43+00:00,Populate text field in window,Edit 2 in Pane 'New Tab - Google Chrome (Incognito)'; Text:'Update Personal Username',chrome,New Tab - Google Chrome (Incognito),"[""UIAutomationPopulateTextField TextField: appmask['Pane \\'New Tab - Google Chrome (Incognito)\\'']['Edit 2'] Text: 'Update Personal Username' Mode: UIAutomationPopulateTextModeReplace ClickType: UIAutomationPopulateMouseClickTypeSingleClick\n""]",21,Prepare a form,f2ac8bb3-f63c-4e80-9145-3933895c210f,1242,chromePopulate text field in window,Microsoftforms/approvals/projectonline,Microsoftforms
20,03f30e67-a393-ec11-b400-000d3a14d9b2,48704707-5685-ec11-8d21-000d3a571ab5,2022-02-22T05:53:46+00:00,Press button in window,Button 'Create' in Pane 'New Tab - Google Chrome (Incognito)',chrome,New Tab - Google Chrome (Incognito),"[""UIAutomationPressButton Button: appmask['Pane \\'New Tab - Google Chrome (Incognito)\\'']['Button \\'Create\\'']\n""]",22,Prepare a form,f2ac8bb3-f63c-4e80-9145-3933895c210f,1243,chromePress button in window,Microsoftforms/approvals/projectonline,Microsoftforms
21,03f30e67-a393-ec11-b400-000d3a14d9b2,48704707-5685-ec11-8d21-000d3a571ab5,2022-02-22T05:53:56+00:00,Click UI element in window,List Item 3 in Pane 'New Tab - Google Chrome (Incognito)',chrome,New Tab - Google Chrome (Incognito),"[""UIAutomationClick Element: appmask['Pane \\'New Tab - Google Chrome (Incognito)\\'']['List Item 3'] ClickType: UIAutomationClickTypeLeftClick OffsetX: 17 OffsetY: -8 MousePositionRelativeToElement: UIAutomationRectangleEdgePointBottomLeft\n""]",23,Prepare a form,f2ac8bb3-f63c-4e80-9145-3933895c210f,1244,chromeClick UI element in window,Microsoftforms/approvals/projectonline,Microsoftforms
22,03f30e67-a393-ec11-b400-000d3a14d9b2,48704707-5685-ec11-8d21-000d3a571ab5,2022-02-22T05:54:00+00:00,Click UI element in window,List Item 4 in Pane 'New Tab - Google Chrome (Incognito)',chrome,New Tab - Google Chrome (Incognito),"[""UIAutomationClick Element: appmask['Pane \\'New Tab - Google Chrome (Incognito)\\'']['List Item 4'] ClickType: UIAutomationClickTypeLeftClick OffsetX: 15 OffsetY: 34 MousePositionRelativeToElement: UIAutomationRectangleEdgePointTopCenter\n""]",24,Prepare a form,f2ac8bb3-f63c-4e80-9145-3933895c210f,1245,chromeClick UI element in window,Microsoftforms/approvals/projectonline,Microsoftforms
23,03f30e67-a393-ec11-b400-000d3a14d9b2,48704707-5685-ec11-8d21-000d3a571ab5,2022-02-22T05:54:07+00:00,Click UI element in window,Text 'Field Label' in Pane 'New Tab - Google Chrome (Incognito)',chrome,New Tab - Google Chrome (Incognito),"[""UIAutomationClick Element: appmask['Pane \\'New Tab - Google Chrome (Incognito)\\'']['Text \\'Field Label\\''] ClickType: UIAutomationClickTypeLeftClick OffsetX: 16 OffsetY: -4 MousePositionRelativeToElement: UIAutomationRectangleEdgePointBottomLeft\n""]",25,Prepare a form,f2ac8bb3-f63c-4e80-9145-3933895c210f,1246,chromeClick UI element in window,Microsoftforms/approvals/projectonline,Microsoftforms
24,03f30e67-a393-ec11-b400-000d3a14d9b2,48704707-5685-ec11-8d21-000d3a571ab5,2022-02-22T05:54:08+00:00,Click UI element in window,Edit 3 in Pane 'New Tab - Google Chrome (Incognito)',chrome,New Tab - Google Chrome (Incognito),"[""UIAutomationClick Element: appmask['Pane \\'New Tab - Google Chrome (Incognito)\\'']['Edit 3'] ClickType: UIAutomationClickTypeLeftClick OffsetX: 22 OffsetY: 0 MousePositionRelativeToElement: UIAutomationRectangleEdgePointMiddleLeft\n""]",26,Prepare a form,f2ac8bb3-f63c-4e80-9145-3933895c210f,1247,chromeClick UI element in window,Microsoftforms/approvals/projectonline,Microsoftforms
