StepId,RecordingId,ProcessId,TimeStamp,StepName,StepDescription,ApplicationProcessName,ApplicationParentWindowName,automation_step,NextStepId,label_EventName,label_EventId,rows,ApplicationProcessNameStepName,Process_Name,Connectors
0,0bb56aff-825d-ec11-8f8f-002248302213,e7402edc-815c-ec11-8f8f-002248302213,2021-12-15T08:43:39+00:00,Press button in window,Microsoft Teams - 1 running window in Quick Launch Bar,,,"[""UIAutomationPressButton Button: appmask['Quick Launch Bar']['Microsoft Teams - 1 running window']\n""]",2,Create a request for the approval,523588ea-e02f-44eb-bcdf-a130eb629e15,5109,Press button in window,approvals/googlecalendar/msnweather,Approvals
1,0bb56aff-825d-ec11-8f8f-002248302213,e7402edc-815c-ec11-8f8f-002248302213,2021-12-15T08:43:52+00:00,Drag and drop UI element in window,"List Item 'Approvals    more actions' in Pane in Pane 'General    Teams, Main Window'",Teams,"General (Project RoadMap) | Microsoft Teams, Main Window","[""UIAutomationDragAndDropElement MouseDownOffsetY: 8 MouseDownOffsetX: 5 RectangleEdgePointForMouseDown: UIAutomationRectangleEdgePointTopLeft ControlToDrag: appmask['Pane \\'General    Teams, Main Window\\'']['Pane'] MouseUpOffsetY: 24 MouseUpOffsetX: -14 RectangleEdgePointForMouseUp: UIAutomationRectangleEdgePointTopLeft ControlToDropOver: appmask['Pane \\'General    Teams, Main Window\\'']['List Item \\'Approvals    more actions\\''] ClickType: UIAutomationDragAndDropClickTypeLeftClick\n""]",3,Create a request for the approval,523588ea-e02f-44eb-bcdf-a130eb629e15,5110,TeamsDrag and drop UI element in window,approvals/googlecalendar/msnweather,Approvals
2,0bb56aff-825d-ec11-8f8f-002248302213,e7402edc-815c-ec11-8f8f-002248302213,2021-12-15T08:44:09+00:00,Click UI element in window,"Data Item 'Business Trip' in Pane 'General    Teams, Main Window'",Teams,"General (Project RoadMap) | Microsoft Teams, Main Window","[""UIAutomationClick Element: appmask['Pane \\'General    Teams, Main Window\\'']['Data Item \\'Business Trip\\''] ClickType: UIAutomationClickTypeLeftClick OffsetX: -42 OffsetY: 3 MousePositionRelativeToElement: UIAutomationRectangleEdgePointMiddleCenter\n""]",4,Create a request for the approval,523588ea-e02f-44eb-bcdf-a130eb629e15,5111,TeamsClick UI element in window,approvals/googlecalendar/msnweather,Approvals
0,3280684f-f571-ec11-8943-00224821072b,e7402edc-815c-ec11-8f8f-002248302213,2022-01-10T09:12:52+00:00,Select menu option in window,Firefox - 2 running windows in Quick Launch Bar,,,"[""UIAutomationSelectMenuOption Control: appmask['Quick Launch Bar']['Firefox - 2 running windows']\n""]",2,Create a request for the approval,2400ed0e-8ad2-475a-bbdb-cbd7be29d458,3222,Select menu option in window,approvals/googlecalendar/msnweather,Approvals
1,3280684f-f571-ec11-8943-00224821072b,e7402edc-815c-ec11-8f8f-002248302213,2022-01-10T09:12:57+00:00,Click UI element in window,"List Item 'Delhi,    (Private Browsing)' in List 'Task Switcher'",,Task Switcher,"[""UIAutomationClick Element: appmask['List \\'Task Switcher\\'']['List Item \\'Delhi,    (Private Browsing)\\''] ClickType: UIAutomationClickTypeLeftClick OffsetX: 60 OffsetY: 7 MousePositionRelativeToElement: UIAutomationRectangleEdgePointMiddleLeft\n""]",3,Create a request for the approval,2400ed0e-8ad2-475a-bbdb-cbd7be29d458,3223,Click UI element in window,approvals/googlecalendar/msnweather,Approvals
2,3280684f-f571-ec11-8943-00224821072b,e7402edc-815c-ec11-8f8f-002248302213,2022-01-10T09:12:58+00:00,Press button in window,"Button 'Open a new tab (Ctrl+T)' in Window 'Delhi, India    (Private Browsing)'",firefox,"Delhi, India - Weather Forecasts | Maps | News - Yahoo Weather â€” Mozilla Firefox (Private Browsing)","[""UIAutomationPressButton Button: appmask['Window \\'Delhi, India    (Private Browsing)\\'']['Button \\'Open a new tab (Ctrl+T)\\'']\n""]",4,Create a request for the approval,2400ed0e-8ad2-475a-bbdb-cbd7be29d458,3224,firefoxPress button in window,approvals/googlecalendar/msnweather,Approvals
3,3280684f-f571-ec11-8943-00224821072b,e7402edc-815c-ec11-8f8f-002248302213,2022-01-10T09:13:05+00:00,Populate text field in window,Edit 'Search with Google or enter address' in Window 'Mozilla Firefox (Private Browsing)'; Text:'teams web',firefox,Mozilla Firefox (Private Browsing),"[""UIAutomationPopulateTextField TextField: appmask['Window \\'Mozilla Firefox (Private Browsing)\\'']['Edit \\'Search with Google or enter address\\''] Text: 'teams web' Mode: UIAutomationPopulateTextModeReplace ClickType: UIAutomationPopulateMouseClickTypeSingleClick\n""]",5,Create a request for the approval,2400ed0e-8ad2-475a-bbdb-cbd7be29d458,3225,firefoxPopulate text field in window,approvals/googlecalendar/msnweather,Approvals
4,3280684f-f571-ec11-8943-00224821072b,e7402edc-815c-ec11-8f8f-002248302213,2022-01-10T09:13:06+00:00,Send keys,TextToSend:'{Return}',,,"['WAIT 2\n', ""MouseAndKeyboardSendKeys TextToSend: '{Return}'\n""]",6,Create a request for the approval,2400ed0e-8ad2-475a-bbdb-cbd7be29d458,3226,Send keys,approvals/googlecalendar/msnweather,Approvals
5,3280684f-f571-ec11-8943-00224821072b,e7402edc-815c-ec11-8f8f-002248302213,2022-01-10T09:13:09+00:00,Click UI element in window,Hyperlink 'Microsoft    â€º en-in â€º log-in' in Window 'teams web -    (Private Browsing)',firefox,teams web - Google Search â€” Mozilla Firefox (Private Browsing),"[""UIAutomationClick Element: appmask['Window \\'teams web -    (Private Browsing)\\'']['Hyperlink \\'Microsoft    â€º en-in â€º log-in\\''] ClickType: UIAutomationClickTypeLeftClick OffsetX: 57 OffsetY: -15 MousePositionRelativeToElement: UIAutomationRectangleEdgePointBottomCenter\n""]",7,Create a request for the approval,2400ed0e-8ad2-475a-bbdb-cbd7be29d458,3227,firefoxClick UI element in window,approvals/googlecalendar/msnweather,Approvals
6,3280684f-f571-ec11-8943-00224821072b,e7402edc-815c-ec11-8f8f-002248302213,2022-01-10T09:13:14+00:00,Click UI element in window,Hyperlink 'Sign in and get started with Microsoft Teams' in Window 'Microsoft    (Private Browsing)',firefox,Microsoft Teams Sign-In | Teams Login Page â€” Mozilla Firefox (Private Browsing),"[""UIAutomationClick Element: appmask['Window \\'Microsoft    (Private Browsing)\\'']['Hyperlink \\'Sign in and get started with Microsoft Teams\\''] ClickType: UIAutomationClickTypeLeftClick OffsetX: 66 OffsetY: -3 MousePositionRelativeToElement: UIAutomationRectangleEdgePointMiddleLeft\n""]",8,Create a request for the approval,2400ed0e-8ad2-475a-bbdb-cbd7be29d458,3228,firefoxClick UI element in window,approvals/googlecalendar/msnweather,Approvals
