StepId,RecordingId,ProcessId,TimeStamp,StepName,StepDescription,ApplicationProcessName,ApplicationParentWindowName,automation_step,NextStepId,label_EventName,label_EventId,rows,ApplicationProcessNameStepName,Process_Name,Connectors
23,046a08ae-dc8f-ec11-b400-0022482f8e02,f1affafb-5485-ec11-8d21-000d3a5712fa,2022-02-17T11:02:43+00:00,Populate text field in window,Edit 'Search with Google or enter address' in Window 'Mozilla Firefox (Private Browsing)'; Text:'microsoft form',firefox,Mozilla Firefox (Private Browsing),"[""UIAutomationPopulateTextField TextField: appmask['Window \\'Mozilla Firefox (Private Browsing)\\'']['Edit \\'Search with Google or enter address\\''] Text: 'microsoft form' Mode: UIAutomationPopulateTextModeReplace ClickType: UIAutomationPopulateMouseClickTypeSingleClick\n""]",25,Prepare a form,c22d0097-c346-41c6-a5d3-0f36347b5c03,3878,firefoxPopulate text field in window,Office365users/Microsoftforms,Microsoftforms
24,046a08ae-dc8f-ec11-b400-0022482f8e02,f1affafb-5485-ec11-8d21-000d3a5712fa,2022-02-17T11:02:45+00:00,Send keys,TextToSend:'{Return}',,,"['WAIT 2\n', ""MouseAndKeyboardSendKeys TextToSend: '{Return}'\n""]",26,Prepare a form,c22d0097-c346-41c6-a5d3-0f36347b5c03,3879,Send keys,Office365users/Microsoftforms,Microsoftforms
25,046a08ae-dc8f-ec11-b400-0022482f8e02,f1affafb-5485-ec11-8d21-000d3a5712fa,2022-02-17T11:02:49+00:00,Click UI element in window,Hyperlink 'Microsoft   officecom' in Window 'microsoft    (Private Browsing)' 4,firefox,microsoft form - Google Search â€” Mozilla Firefox (Private Browsing),"[""UIAutomationClick Element: appmask['Window \\'microsoft    (Private Browsing)\\' 4']['Hyperlink \\'Microsoft   officecom\\''] ClickType: UIAutomationClickTypeLeftClick OffsetX: -57 OffsetY: 1 MousePositionRelativeToElement: UIAutomationRectangleEdgePointMiddleCenter\n""]",27,Prepare a form,c22d0097-c346-41c6-a5d3-0f36347b5c03,3880,firefoxClick UI element in window,Office365users/Microsoftforms,Microsoftforms
26,046a08ae-dc8f-ec11-b400-0022482f8e02,f1affafb-5485-ec11-8d21-000d3a5712fa,2022-02-17T11:03:00+00:00,Click UI element in window,Hyperlink 'Open    By Name Surname' in Window 'Microsoft    (Private Browsing)' 5,firefox,Microsoft Forms â€” Mozilla Firefox (Private Browsing),"[""UIAutomationClick Element: appmask['Window \\'Microsoft    (Private Browsing)\\' 5']['Hyperlink \\'Open    By Name Surname\\''] ClickType: UIAutomationClickTypeLeftClick OffsetX: -26 OffsetY: 22 MousePositionRelativeToElement: UIAutomationRectangleEdgePointMiddleCenter\n""]",28,Prepare a form,c22d0097-c346-41c6-a5d3-0f36347b5c03,3881,firefoxClick UI element in window,Office365users/Microsoftforms,Microsoftforms
27,046a08ae-dc8f-ec11-b400-0022482f8e02,f1affafb-5485-ec11-8d21-000d3a5712fa,2022-02-17T11:03:06+00:00,Press button in window,Button 'Share' in Window 'Survey Form    (Private Browsing)',firefox,Survey Form (Edit) Microsoft Forms â€” Mozilla Firefox (Private Browsing),"[""UIAutomationPressButton Button: appmask['Window \\'Survey Form    (Private Browsing)\\'']['Button \\'Share\\'']\n""]",29,Share the form,6873ae31-531b-45eb-bd3d-82a8f3a0b52c,3882,firefoxPress button in window,Office365users/Microsoftforms,Microsoftforms
28,046a08ae-dc8f-ec11-b400-0022482f8e02,f1affafb-5485-ec11-8d21-000d3a5712fa,2022-02-17T11:03:11+00:00,Click UI element in window,UI Custom in Window 'Survey Form    (Private Browsing)',firefox,Survey Form (Edit) Microsoft Forms â€” Mozilla Firefox (Private Browsing),"[""UIAutomationClick Element: appmask['Window \\'Survey Form    (Private Browsing)\\'']['UI Custom'] ClickType: UIAutomationClickTypeLeftClick OffsetX: -85 OffsetY: -9 MousePositionRelativeToElement: UIAutomationRectangleEdgePointMiddleRight\n""]",30,Share the form,6873ae31-531b-45eb-bd3d-82a8f3a0b52c,3883,firefoxClick UI element in window,Office365users/Microsoftforms,Microsoftforms
29,046a08ae-dc8f-ec11-b400-0022482f8e02,f1affafb-5485-ec11-8d21-000d3a5712fa,2022-02-17T11:03:13+00:00,Press button in window,Button 'Copy' in Window 'Survey Form    (Private Browsing)',firefox,Survey Form (Edit) Microsoft Forms â€” Mozilla Firefox (Private Browsing),"[""UIAutomationPressButton Button: appmask['Window \\'Survey Form    (Private Browsing)\\'']['Button \\'Copy\\'']\n""]",31,Share the form,6873ae31-531b-45eb-bd3d-82a8f3a0b52c,3884,firefoxPress button in window,Office365users/Microsoftforms,Microsoftforms
30,046a08ae-dc8f-ec11-b400-0022482f8e02,f1affafb-5485-ec11-8d21-000d3a5712fa,2022-02-17T11:03:16+00:00,Press button in window,Button 'Open a new tab (Ctrl+T)' in Window 'Survey Form    (Private Browsing)',firefox,Survey Form (Edit) Microsoft Forms â€” Mozilla Firefox (Private Browsing),"[""UIAutomationPressButton Button: appmask['Window \\'Survey Form    (Private Browsing)\\'']['Button \\'Open a new tab (Ctrl+T)\\'']\n""]",32,Share the form,6873ae31-531b-45eb-bd3d-82a8f3a0b52c,3885,firefoxPress button in window,Office365users/Microsoftforms,Microsoftforms
31,046a08ae-dc8f-ec11-b400-0022482f8e02,f1affafb-5485-ec11-8d21-000d3a5712fa,2022-02-17T11:03:20+00:00,Populate text field in window,Edit 'Search with Google or enter address' in Window 'Mozilla Firefox (Private Browsing)'; Text:'teams',firefox,Mozilla Firefox (Private Browsing),"[""UIAutomationPopulateTextField TextField: appmask['Window \\'Mozilla Firefox (Private Browsing)\\'']['Edit \\'Search with Google or enter address\\''] Text: 'teams' Mode: UIAutomationPopulateTextModeReplace ClickType: UIAutomationPopulateMouseClickTypeSingleClick\n""]",33,Share the form,6873ae31-531b-45eb-bd3d-82a8f3a0b52c,3886,firefoxPopulate text field in window,Office365users/Microsoftforms,Microsoftforms
32,046a08ae-dc8f-ec11-b400-0022482f8e02,f1affafb-5485-ec11-8d21-000d3a5712fa,2022-02-17T11:03:21+00:00,Send keys,TextToSend:'{Return}',,,"['WAIT 2\n', ""MouseAndKeyboardSendKeys TextToSend: '{Return}'\n""]",34,Share the form,6873ae31-531b-45eb-bd3d-82a8f3a0b52c,3887,Send keys,Office365users/Microsoftforms,Microsoftforms
33,046a08ae-dc8f-ec11-b400-0022482f8e02,f1affafb-5485-ec11-8d21-000d3a5712fa,2022-02-17T11:03:28+00:00,Click UI element in window,Hyperlink 'Group    group-chat-software' in Window 'teams -    (Private Browsing)',firefox,teams - Google Search â€” Mozilla Firefox (Private Browsing),"[""UIAutomationClick Element: appmask['Window \\'teams -    (Private Browsing)\\'']['Hyperlink \\'Group    group-chat-software\\''] ClickType: UIAutomationClickTypeLeftClick OffsetX: 123 OffsetY: -1 MousePositionRelativeToElement: UIAutomationRectangleEdgePointMiddleLeft\n""]",35,Share the form,6873ae31-531b-45eb-bd3d-82a8f3a0b52c,3888,firefoxClick UI element in window,Office365users/Microsoftforms,Microsoftforms
34,046a08ae-dc8f-ec11-b400-0022482f8e02,f1affafb-5485-ec11-8d21-000d3a5712fa,2022-02-17T11:03:32+00:00,Click UI element in window,Hyperlink 'Sign in and get started with Teams' in Window 'Group Chat    (Private Browsing)',firefox,Group Chat Software - Free Chat for Teams | Microsoft Teams â€” Mozilla Firefox (Private Browsing),"[""UIAutomationClick Element: appmask['Window \\'Group Chat    (Private Browsing)\\'']['Hyperlink \\'Sign in and get started with Teams\\''] ClickType: UIAutomationClickTypeLeftClick OffsetX: -20 OffsetY: 7 MousePositionRelativeToElement: UIAutomationRectangleEdgePointTopCenter\n""]",36,Share the form,6873ae31-531b-45eb-bd3d-82a8f3a0b52c,3889,firefoxClick UI element in window,Office365users/Microsoftforms,Microsoftforms
35,046a08ae-dc8f-ec11-b400-0022482f8e02,f1affafb-5485-ec11-8d21-000d3a5712fa,2022-02-17T11:03:58+00:00,Populate text field in window,Edit 'To:' in Window 'Chat |    (Private Browsing)'; Text:'poooja',firefox,Chat | Microsoft Teams â€” Mozilla Firefox (Private Browsing),"[""UIAutomationPopulateTextField TextField: appmask['Window \\'Chat |    (Private Browsing)\\'']['Edit \\'To:\\''] Text: 'poooja' Mode: UIAutomationPopulateTextModeReplace ClickType: UIAutomationPopulateMouseClickTypeSingleClick\n""]",37,Share the form,6873ae31-531b-45eb-bd3d-82a8f3a0b52c,3890,firefoxPopulate text field in window,Office365users/Microsoftforms,Microsoftforms
36,046a08ae-dc8f-ec11-b400-0022482f8e02,f1affafb-5485-ec11-8d21-000d3a5712fa,2022-02-17T11:04:06+00:00,Select menu option in window,Menu Item 'Poooja Bhaatt POOBHT' in Window 'Chat |    (Private Browsing)',firefox,Chat | Microsoft Teams â€” Mozilla Firefox (Private Browsing),"[""UIAutomationSelectMenuOption Control: appmask['Window \\'Chat |    (Private Browsing)\\'']['Menu Item \\'Poooja Bhaatt POOBHT\\'']\n""]",38,Share the form,6873ae31-531b-45eb-bd3d-82a8f3a0b52c,3891,firefoxSelect menu option in window,Office365users/Microsoftforms,Microsoftforms
