StepId,RecordingId,ProcessId,TimeStamp,StepName,StepDescription,ApplicationProcessName,ApplicationParentWindowName,automation_step,NextStepId,label_EventName,label_EventId,rows,ApplicationProcessNameStepName,Process_Name,Connectors
4,5aebc691-825d-ec11-8f8f-002248302895,6b0a43d4-815c-ec11-8f8f-002248302895,2021-12-15T08:42:53+00:00,Populate text field in window,Edit 'Address and search bar' in Pane 'New Tab - Google Chrome - Person 1'; Text:'o365',chrome,New Tab - Google Chrome - Person 1,"[""UIAutomationPopulateTextField TextField: appmask['Pane \\'New Tab - Google Chrome - Person 1\\'']['Edit \\'Address and search bar\\''] Text: 'o365' Mode: UIAutomationPopulateTextModeReplace ClickType: UIAutomationPopulateMouseClickTypeSingleClick\n""]",6,Go to planner,613e0106-2938-4da6-a1f2-523c7b88331b,5534,chromePopulate text field in window,planner/googlecalendar/wordonlinebusiness,Planner
5,5aebc691-825d-ec11-8f8f-002248302895,6b0a43d4-815c-ec11-8f8f-002248302895,2021-12-15T08:42:54+00:00,Send keys,TextToSend:'{Return}',,,"['WAIT 2\n', ""MouseAndKeyboardSendKeys TextToSend: '{Return}'\n""]",7,Go to planner,613e0106-2938-4da6-a1f2-523c7b88331b,5535,Send keys,planner/googlecalendar/wordonlinebusiness,Planner
6,5aebc691-825d-ec11-8f8f-002248302895,6b0a43d4-815c-ec11-8f8f-002248302895,2021-12-15T08:42:58+00:00,Click UI element in window,Hyperlink ' Office   officecom' in Pane 'New Tab - Google Chrome - Person 1',chrome,New Tab - Google Chrome - Person 1,"[""UIAutomationClick Element: appmask['Pane \\'New Tab - Google Chrome - Person 1\\'']['Hyperlink \\' Office   officecom\\''] ClickType: UIAutomationClickTypeLeftClick OffsetX: -10 OffsetY: 4 MousePositionRelativeToElement: UIAutomationRectangleEdgePointMiddleCenter\n""]",8,Go to planner,613e0106-2938-4da6-a1f2-523c7b88331b,5536,chromeClick UI element in window,planner/googlecalendar/wordonlinebusiness,Planner
7,5aebc691-825d-ec11-8f8f-002248302895,6b0a43d4-815c-ec11-8f8f-002248302895,2021-12-15T08:43:07+00:00,Click UI element in window,Hyperlink 'Planner' in Pane 'New Tab - Google Chrome - Person 1',chrome,New Tab - Google Chrome - Person 1,"[""UIAutomationClick Element: appmask['Pane \\'New Tab - Google Chrome - Person 1\\'']['Hyperlink \\'Planner\\''] ClickType: UIAutomationClickTypeLeftClick OffsetX: -3 OffsetY: -2 MousePositionRelativeToElement: UIAutomationRectangleEdgePointMiddleCenter\n""]",9,Go to planner,613e0106-2938-4da6-a1f2-523c7b88331b,5537,chromeClick UI element in window,planner/googlecalendar/wordonlinebusiness,Planner
8,5aebc691-825d-ec11-8f8f-002248302895,6b0a43d4-815c-ec11-8f8f-002248302895,2021-12-15T08:43:12+00:00,Select menu option in window,Menu Item 'New plan' in Pane 'New Tab - Google Chrome - Person 1',chrome,New Tab - Google Chrome - Person 1,"[""UIAutomationSelectMenuOption Control: appmask['Pane \\'New Tab - Google Chrome - Person 1\\'']['Menu Item \\'New plan\\'']\n""]",10,Go to planner,613e0106-2938-4da6-a1f2-523c7b88331b,5538,chromeSelect menu option in window,planner/googlecalendar/wordonlinebusiness,Planner
9,5aebc691-825d-ec11-8f8f-002248302895,6b0a43d4-815c-ec11-8f8f-002248302895,2021-12-15T08:43:17+00:00,Populate text field in window,Edit 'Plan name' in Pane 'New Tab - Google Chrome - Person 1'; Text:'Training',chrome,New Tab - Google Chrome - Person 1,"[""UIAutomationPopulateTextField TextField: appmask['Pane \\'New Tab - Google Chrome - Person 1\\'']['Edit \\'Plan name\\''] Text: 'Training' Mode: UIAutomationPopulateTextModeReplace ClickType: UIAutomationPopulateMouseClickTypeSingleClick\n""]",11,Go to planner,613e0106-2938-4da6-a1f2-523c7b88331b,5539,chromePopulate text field in window,planner/googlecalendar/wordonlinebusiness,Planner
10,5aebc691-825d-ec11-8f8f-002248302895,6b0a43d4-815c-ec11-8f8f-002248302895,2021-12-15T08:43:27+00:00,Press button in window,Button 'îœêChoose a group for your plan' in Pane 'New Tab - Google Chrome - Person 1',chrome,New Tab - Google Chrome - Person 1,"[""UIAutomationPressButton Button: appmask['Pane \\'New Tab - Google Chrome - Person 1\\'']['Button \\'\ue710Choose a group for your plan\\'']\n""]",12,Go to planner,613e0106-2938-4da6-a1f2-523c7b88331b,5540,chromePress button in window,planner/googlecalendar/wordonlinebusiness,Planner
11,5aebc691-825d-ec11-8f8f-002248302895,6b0a43d4-815c-ec11-8f8f-002248302895,2021-12-15T08:43:33+00:00,Click UI element in window,List Item 'Project RoadMap' in Pane 'New Tab - Google Chrome - Person 1',chrome,New Tab - Google Chrome - Person 1,"[""UIAutomationClick Element: appmask['Pane \\'New Tab - Google Chrome - Person 1\\'']['List Item \\'Project RoadMap\\''] ClickType: UIAutomationClickTypeLeftClick OffsetX: -34 OffsetY: 6 MousePositionRelativeToElement: UIAutomationRectangleEdgePointMiddleCenter\n""]",13,Go to planner,613e0106-2938-4da6-a1f2-523c7b88331b,5541,chromeClick UI element in window,planner/googlecalendar/wordonlinebusiness,Planner
12,5aebc691-825d-ec11-8f8f-002248302895,6b0a43d4-815c-ec11-8f8f-002248302895,2021-12-15T08:43:38+00:00,Press button in window,Button 'Create plan' in Pane 'New Tab - Google Chrome - Person 1',chrome,New Tab - Google Chrome - Person 1,"[""UIAutomationPressButton Button: appmask['Pane \\'New Tab - Google Chrome - Person 1\\'']['Button \\'Create plan\\'']\n""]",14,Go to planner,613e0106-2938-4da6-a1f2-523c7b88331b,5542,chromePress button in window,planner/googlecalendar/wordonlinebusiness,Planner
13,5aebc691-825d-ec11-8f8f-002248302895,6b0a43d4-815c-ec11-8f8f-002248302895,2021-12-15T08:43:44+00:00,Press button in window,Button 'Add task card in To do column' in Pane 'New Tab - Google Chrome - Person 1',chrome,New Tab - Google Chrome - Person 1,"[""UIAutomationPressButton Button: appmask['Pane \\'New Tab - Google Chrome - Person 1\\'']['Button \\'Add task card in To do column\\'']\n""]",15,Create Tasks,6cef8220-345c-47ac-8a85-cd20d2d05d79,5543,chromePress button in window,planner/googlecalendar/wordonlinebusiness,Planner
