StepId,RecordingId,ProcessId,TimeStamp,StepName,StepDescription,ApplicationProcessName,ApplicationParentWindowName,automation_step,NextStepId,label_EventName,label_EventId,rows,ApplicationProcessNameStepName,Process_Name,Connectors
0,5b91c547-f392-ec11-b400-000d3a14d9b2,d1a46969-5685-ec11-8d21-000d3a571ab5,2022-02-21T08:53:14+00:00,Press button in window,Button 'Type here to search' in TaskBar,,,"[""UIAutomationPressButton Button: appmask['TaskBar']['Button \\'Type here to search\\'']\n""]",2,Go to the note taking app,a6f852aa-e09c-46bd-81d6-9f601f0cae9f,857,Press button in window,Office365users/sendmail/onenote,onenote
1,5b91c547-f392-ec11-b400-000d3a14d9b2,d1a46969-5685-ec11-8d21-000d3a571ab5,2022-02-21T08:53:20+00:00,Populate text field in window,Edit 'Search box' in Window 'Search'; Text:'onenote',SearchApp,Search,"[""UIAutomationPopulateTextField TextField: appmask['Window \\'Search\\'']['Edit \\'Search box\\''] Text: 'onenote' Mode: UIAutomationPopulateTextModeReplace ClickType: UIAutomationPopulateMouseClickTypeSingleClick\n""]",3,Go to the note taking app,a6f852aa-e09c-46bd-81d6-9f601f0cae9f,858,SearchAppPopulate text field in window,Office365users/sendmail/onenote,onenote
2,5b91c547-f392-ec11-b400-000d3a14d9b2,d1a46969-5685-ec11-8d21-000d3a571ab5,2022-02-21T08:53:27+00:00,Click UI element in window,List Item 'OneNote    to switch preview' in Window 'Search',SearchApp,Search,"[""UIAutomationClick Element: appmask['Window \\'Search\\'']['List Item \\'OneNote    to switch preview\\''] ClickType: UIAutomationClickTypeLeftClick OffsetX: 65 OffsetY: -10 MousePositionRelativeToElement: UIAutomationRectangleEdgePointMiddleLeft\n""]",4,Go to the note taking app,a6f852aa-e09c-46bd-81d6-9f601f0cae9f,859,SearchAppClick UI element in window,Office365users/sendmail/onenote,onenote
3,5b91c547-f392-ec11-b400-000d3a14d9b2,d1a46969-5685-ec11-8d21-000d3a571ab5,2022-02-21T08:53:31+00:00,Press button in window,Button 'Click to view other notebooks   Update role in admin centre Documents â€?Â» OneNote Notebooks' in Window 'Update role in admin centre - OneNote',ONENOTE,Update role in admin centre - OneNote,"[""UIAutomationPressButton Button: appmask['Window \\'Update role in admin centre - OneNote\\'']['Button \\'Click to view other notebooks   Update role in admin centre Documents \u200eÂ» OneNote Notebooks\\'']\n""]",5,Go to the note taking app,a6f852aa-e09c-46bd-81d6-9f601f0cae9f,860,ONENOTEPress button in window,Office365users/sendmail/onenote,onenote
4,5b91c547-f392-ec11-b400-000d3a14d9b2,d1a46969-5685-ec11-8d21-000d3a571ab5,2022-02-21T08:53:35+00:00,Press button in window,Button 'Notebook Update role in admin centre Documents â€?Â» OneNote Notebooks' in Window 'Update role in admin centre - OneNote',ONENOTE,Update role in admin centre - OneNote,"[""UIAutomationPressButton Button: appmask['Window \\'Update role in admin centre - OneNote\\'']['Button \\'Notebook Update role in admin centre Documents \u200eÂ» OneNote Notebooks\\'']\n""]",6,Go to the note taking app,a6f852aa-e09c-46bd-81d6-9f601f0cae9f,861,ONENOTEPress button in window,Office365users/sendmail/onenote,onenote
5,5b91c547-f392-ec11-b400-000d3a14d9b2,d1a46969-5685-ec11-8d21-000d3a571ab5,2022-02-21T08:53:39+00:00,Click UI element in window,Document 'OneNote current page' in Window 'Update role in admin centre - OneNote',ONENOTE,Update role in admin centre - OneNote,"[""UIAutomationClick Element: appmask['Window \\'Update role in admin centre - OneNote\\'']['Document \\'OneNote current page\\''] ClickType: UIAutomationClickTypeLeftClick OffsetX: 299 OffsetY: 194 MousePositionRelativeToElement: UIAutomationRectangleEdgePointTopLeft\n""]",7,Go to the note taking app,a6f852aa-e09c-46bd-81d6-9f601f0cae9f,862,ONENOTEClick UI element in window,Office365users/sendmail/onenote,onenote
0,b16a6747-f492-ec11-b400-000d3a14d9b2,d1a46969-5685-ec11-8d21-000d3a571ab5,2022-02-21T08:58:12+00:00,Select menu option in window,Microsoft Edge (2) - 2 running windows in Quick Launch Bar,,,"[""UIAutomationSelectMenuOption Control: appmask['Quick Launch Bar']['Microsoft Edge (2) - 2 running windows']\n""]",2,Go to the note taking app,c717a660-4cbe-4819-9b8b-d6642465d147,894,Select menu option in window,Office365users/sendmail/onenote,onenote
1,b16a6747-f492-ec11-b400-000d3a14d9b2,d1a46969-5685-ec11-8d21-000d3a571ab5,2022-02-21T08:58:16+00:00,Press button in window,Button 'New Tab' in Window 'Process    - Microsoftâ€‹ Edge',msedge,Process advisor | Power Automate and 1 more page - Personal - Microsoftâ€‹ Edge,"[""UIAutomationPressButton Button: appmask['Window \\'Process    - Microsoft\u200b Edge\\'']['Button \\'New Tab\\'']\n""]",3,Go to the note taking app,c717a660-4cbe-4819-9b8b-d6642465d147,895,msedgePress button in window,Office365users/sendmail/onenote,onenote
2,b16a6747-f492-ec11-b400-000d3a14d9b2,d1a46969-5685-ec11-8d21-000d3a571ab5,2022-02-21T08:58:19+00:00,Click UI element in window,Edit 'Address and search bar' in Window 'Process    - Microsoftâ€‹ Edge',msedge,Process advisor | Power Automate and 1 more page - Personal - Microsoftâ€‹ Edge,"[""UIAutomationClick Element: appmask['Window \\'Process    - Microsoft\u200b Edge\\'']['Edit \\'Address and search bar\\''] ClickType: UIAutomationClickTypeLeftClick OffsetX: 164 OffsetY: -3 MousePositionRelativeToElement: UIAutomationRectangleEdgePointMiddleLeft\n""]",4,Go to the note taking app,c717a660-4cbe-4819-9b8b-d6642465d147,896,msedgeClick UI element in window,Office365users/sendmail/onenote,onenote
3,b16a6747-f492-ec11-b400-000d3a14d9b2,d1a46969-5685-ec11-8d21-000d3a571ab5,2022-02-21T08:58:23+00:00,Populate text field in window,Edit 'Address and search bar' in Window 'New tab and    - Microsoftâ€‹ Edge'; Text:'evernote',msedge,New tab and 2 more pages - Personal - Microsoftâ€‹ Edge,"[""UIAutomationPopulateTextField TextField: appmask['Window \\'New tab and    - Microsoft\u200b Edge\\'']['Edit \\'Address and search bar\\''] Text: 'evernote' Mode: UIAutomationPopulateTextModeReplace ClickType: UIAutomationPopulateMouseClickTypeSingleClick\n""]",5,Go to the note taking app,c717a660-4cbe-4819-9b8b-d6642465d147,897,msedgePopulate text field in window,Office365users/sendmail/onenote,onenote
