StepId,RecordingId,ProcessId,TimeStamp,StepName,StepDescription,ApplicationProcessName,ApplicationParentWindowName,automation_step,NextStepId,label_EventName,label_EventId,rows,ApplicationProcessNameStepName,Process_Name,Connectors
0,71f08b93-9b5d-ec11-8f8f-002248302895,66d72ce9-815c-ec11-8f8f-002248302213,2021-12-15T11:40:03+00:00,Press button in window,Google Chrome - 1 running window in Quick Launch Bar,,,"[""UIAutomationPressButton Button: appmask['Quick Launch Bar']['Google Chrome - 1 running window']\n""]",3,Add the new joinee,d91a05d6-5bbd-40c2-87ff-ad1791ae287c,5585,Press button in window,Office365users/rss/sql,Office365users
1,71f08b93-9b5d-ec11-8f8f-002248302895,66d72ce9-815c-ec11-8f8f-002248302213,2021-12-15T11:40:09+00:00,Select menu option in window,MenuItem: Users in Pane 'Microsoft 365    Chrome (Guest)',chrome,Microsoft 365 admin center - Home - Google Chrome (Guest),"[""UIAutomationSelectMenuOption Control: appmask['Pane \\'Microsoft 365    Chrome (Guest)\\'']['MenuItem: Users']\n""]",4,Add the new joinee,d91a05d6-5bbd-40c2-87ff-ad1791ae287c,5586,chromeSelect menu option in window,Office365users/rss/sql,Office365users
2,71f08b93-9b5d-ec11-8f8f-002248302895,66d72ce9-815c-ec11-8f8f-002248302213,2021-12-15T11:40:10+00:00,Select menu option in window,MenuItem: Active users in Pane 'Microsoft 365    Chrome (Guest)',chrome,Microsoft 365 admin center - Home - Google Chrome (Guest),"[""UIAutomationSelectMenuOption Control: appmask['Pane \\'Microsoft 365    Chrome (Guest)\\'']['MenuItem: Active users']\n""]",5,Add the new joinee,d91a05d6-5bbd-40c2-87ff-ad1791ae287c,5587,chromeSelect menu option in window,Office365users/rss/sql,Office365users
3,71f08b93-9b5d-ec11-8f8f-002248302895,66d72ce9-815c-ec11-8f8f-002248302213,2021-12-15T11:40:13+00:00,Select menu option in window,MenuItem: Add a user    key to add a user in Pane 'Microsoft 365    Chrome (Guest)',chrome,Microsoft 365 admin center - Home - Google Chrome (Guest),"[""UIAutomationSelectMenuOption Control: appmask['Pane \\'Microsoft 365    Chrome (Guest)\\'']['MenuItem: Add a user    key to add a user']\n""]",6,Add the new joinee,d91a05d6-5bbd-40c2-87ff-ad1791ae287c,5588,chromeSelect menu option in window,Office365users/rss/sql,Office365users
4,71f08b93-9b5d-ec11-8f8f-002248302895,66d72ce9-815c-ec11-8f8f-002248302213,2021-12-15T11:40:23+00:00,Populate text field in window,Edit 'First name' in Pane 'Microsoft 365    Chrome (Guest)'; Text:'Darshna',chrome,Microsoft 365 admin center - Home - Google Chrome (Guest),"[""UIAutomationPopulateTextField TextField: appmask['Pane \\'Microsoft 365    Chrome (Guest)\\'']['Edit \\'First name\\''] Text: 'Darshna' Mode: UIAutomationPopulateTextModeReplace ClickType: UIAutomationPopulateMouseClickTypeSingleClick\n""]",7,Add the new joinee,d91a05d6-5bbd-40c2-87ff-ad1791ae287c,5589,chromePopulate text field in window,Office365users/rss/sql,Office365users
5,71f08b93-9b5d-ec11-8f8f-002248302895,66d72ce9-815c-ec11-8f8f-002248302213,2021-12-15T11:40:29+00:00,Populate text field in window,Edit 'Last name' in Pane 'Microsoft 365    Chrome (Guest)'; Text:'Surname',chrome,Microsoft 365 admin center - Home - Google Chrome (Guest),"[""UIAutomationPopulateTextField TextField: appmask['Pane \\'Microsoft 365    Chrome (Guest)\\'']['Edit \\'Last name\\''] Text: 'Surname' Mode: UIAutomationPopulateTextModeReplace ClickType: UIAutomationPopulateMouseClickTypeSingleClick\n""]",8,Add the new joinee,d91a05d6-5bbd-40c2-87ff-ad1791ae287c,5590,chromePopulate text field in window,Office365users/rss/sql,Office365users
6,71f08b93-9b5d-ec11-8f8f-002248302895,66d72ce9-815c-ec11-8f8f-002248302213,2021-12-15T11:40:35+00:00,Click UI element in window,Data Item '  rosoftcom' in Pane 'Microsoft 365    Chrome (Guest)',chrome,Microsoft 365 admin center - Home - Google Chrome (Guest),"[""UIAutomationClick Element: appmask['Pane \\'Microsoft 365    Chrome (Guest)\\'']['Data Item \\'  rosoftcom\\''] ClickType: UIAutomationClickTypeLeftClick OffsetX: 36 OffsetY: 12 MousePositionRelativeToElement: UIAutomationRectangleEdgePointTopCenter\n""]",9,Add the new joinee,d91a05d6-5bbd-40c2-87ff-ad1791ae287c,5591,chromeClick UI element in window,Office365users/rss/sql,Office365users
7,71f08b93-9b5d-ec11-8f8f-002248302895,66d72ce9-815c-ec11-8f8f-002248302213,2021-12-15T11:40:41+00:00,Populate text field in window,Edit 'Username *' in Pane 'Microsoft 365    Chrome (Guest)'; Text:'Darshu',chrome,Microsoft 365 admin center - Home - Google Chrome (Guest),"[""UIAutomationPopulateTextField TextField: appmask['Pane \\'Microsoft 365    Chrome (Guest)\\'']['Edit \\'Username *\\''] Text: 'Darshu' Mode: UIAutomationPopulateTextModeReplace ClickType: UIAutomationPopulateMouseClickTypeSingleClick\n""]",10,Add the new joinee,d91a05d6-5bbd-40c2-87ff-ad1791ae287c,5592,chromePopulate text field in window,Office365users/rss/sql,Office365users
8,71f08b93-9b5d-ec11-8f8f-002248302895,66d72ce9-815c-ec11-8f8f-002248302213,2021-12-15T11:40:46+00:00,Press button in window,Button 'Next' in Pane 'Microsoft 365    Chrome (Guest)',chrome,Microsoft 365 admin center - Home - Google Chrome (Guest),"[""UIAutomationPressButton Button: appmask['Pane \\'Microsoft 365    Chrome (Guest)\\'']['Button \\'Next\\'']\n""]",11,Add the new joinee,d91a05d6-5bbd-40c2-87ff-ad1791ae287c,5593,chromePress button in window,Office365users/rss/sql,Office365users
9,71f08b93-9b5d-ec11-8f8f-002248302895,66d72ce9-815c-ec11-8f8f-002248302213,2021-12-15T11:40:51+00:00,Click UI element in window,Data Item 'Email@Domain' in Pane 'Microsoft 365    Chrome (Guest)',chrome,Microsoft 365 admin center - Home - Google Chrome (Guest),"[""UIAutomationClick Element: appmask['Pane \\'Microsoft 365    Chrome (Guest)\\'']['Data Item \\'Email@Domain\\''] ClickType: UIAutomationClickTypeLeftClick OffsetX: 75 OffsetY: -12 MousePositionRelativeToElement: UIAutomationRectangleEdgePointBottomLeft\n""]",12,Add the new joinee,d91a05d6-5bbd-40c2-87ff-ad1791ae287c,5594,chromeClick UI element in window,Office365users/rss/sql,Office365users
10,71f08b93-9b5d-ec11-8f8f-002248302895,66d72ce9-815c-ec11-8f8f-002248302213,2021-12-15T11:40:54+00:00,Press button in window,Button 'Next' in Pane 'Microsoft 365    Chrome (Guest)',chrome,Microsoft 365 admin center - Home - Google Chrome (Guest),"[""UIAutomationPressButton Button: appmask['Pane \\'Microsoft 365    Chrome (Guest)\\'']['Button \\'Next\\'']\n""]",13,Add the new joinee,d91a05d6-5bbd-40c2-87ff-ad1791ae287c,5595,chromePress button in window,Office365users/rss/sql,Office365users
11,71f08b93-9b5d-ec11-8f8f-002248302895,66d72ce9-815c-ec11-8f8f-002248302213,2021-12-15T11:40:58+00:00,Press button in window,Button 'Next' in Pane 'Microsoft 365    Chrome (Guest)',chrome,Microsoft 365 admin center - Home - Google Chrome (Guest),"[""UIAutomationPressButton Button: appmask['Pane \\'Microsoft 365    Chrome (Guest)\\'']['Button \\'Next\\'']\n""]",14,Add the new joinee,d91a05d6-5bbd-40c2-87ff-ad1791ae287c,5596,chromePress button in window,Office365users/rss/sql,Office365users
12,71f08b93-9b5d-ec11-8f8f-002248302895,66d72ce9-815c-ec11-8f8f-002248302213,2021-12-15T11:41:01+00:00,Press button in window,Button 'Finish adding' in Pane 'Microsoft 365    Chrome (Guest)',chrome,Microsoft 365 admin center - Home - Google Chrome (Guest),"[""UIAutomationPressButton Button: appmask['Pane \\'Microsoft 365    Chrome (Guest)\\'']['Button \\'Finish adding\\'']\n""]",15,Add the new joinee,d91a05d6-5bbd-40c2-87ff-ad1791ae287c,5597,chromePress button in window,Office365users/rss/sql,Office365users
13,71f08b93-9b5d-ec11-8f8f-002248302895,66d72ce9-815c-ec11-8f8f-002248302213,2021-12-15T11:41:11+00:00,Press button in window,Button 'Close' in Pane 'Microsoft 365    Chrome (Guest)',chrome,Microsoft 365 admin center - Home - Google Chrome (Guest),"[""UIAutomationPressButton Button: appmask['Pane \\'Microsoft 365    Chrome (Guest)\\'']['Button \\'Close\\'']\n""]",16,Add the new joinee,d91a05d6-5bbd-40c2-87ff-ad1791ae287c,5598,chromePress button in window,Office365users/rss/sql,Office365users
44,71f08b93-9b5d-ec11-8f8f-002248302895,66d72ce9-815c-ec11-8f8f-002248302213,2021-12-15T11:44:03+00:00,Populate text field in window,Edit in Pane 'Microsoft 365    Chrome (Guest)'; Text:'Bird Sound',chrome,Microsoft 365 admin center - Home - Google Chrome (Guest),"[""UIAutomationPopulateTextField TextField: appmask['Pane \\'Microsoft 365    Chrome (Guest)\\'']['Edit'] Text: 'Bird Sound' Mode: UIAutomationPopulateTextModeReplace ClickType: UIAutomationPopulateMouseClickTypeSingleClick\n""]",49,Publish the audio file as new podcast,728ce318-7630-481a-8335-8a9bdfbe973e,5629,chromePopulate text field in window,Office365users/rss/sql,Office365users
45,71f08b93-9b5d-ec11-8f8f-002248302895,66d72ce9-815c-ec11-8f8f-002248302213,2021-12-15T11:44:08+00:00,Click UI element in window,Spinner in Pane 'Microsoft 365    Chrome (Guest)',chrome,Microsoft 365 admin center - Home - Google Chrome (Guest),"[""UIAutomationClick Element: appmask['Pane \\'Microsoft 365    Chrome (Guest)\\'']['Spinner'] ClickType: UIAutomationClickTypeLeftClick OffsetX: -60 OffsetY: -3 MousePositionRelativeToElement: UIAutomationRectangleEdgePointMiddleRight\n""]",50,Publish the audio file as new podcast,728ce318-7630-481a-8335-8a9bdfbe973e,5630,chromeClick UI element in window,Office365users/rss/sql,Office365users
46,71f08b93-9b5d-ec11-8f8f-002248302895,66d72ce9-815c-ec11-8f8f-002248302213,2021-12-15T11:44:13+00:00,Click UI element in window,Group 2 in Pane 'Microsoft 365    Chrome (Guest)',chrome,Microsoft 365 admin center - Home - Google Chrome (Guest),"[""UIAutomationClick Element: appmask['Pane \\'Microsoft 365    Chrome (Guest)\\'']['Group 2'] ClickType: UIAutomationClickTypeLeftClick OffsetX: -72 OffsetY: 14 MousePositionRelativeToElement: UIAutomationRectangleEdgePointTopCenter\n""]",51,Publish the audio file as new podcast,728ce318-7630-481a-8335-8a9bdfbe973e,5631,chromeClick UI element in window,Office365users/rss/sql,Office365users
47,71f08b93-9b5d-ec11-8f8f-002248302895,66d72ce9-815c-ec11-8f8f-002248302213,2021-12-15T11:44:20+00:00,MouseAndKeyboardSendKeysFocusAndSendKeys,TextToSend:'{LShiftKey}(B)ier{Back}{Back}rd {LShiftKey}(S)ou8n{Back}{Back}nd {LShiftKey}(F)eed{Back}',,,"['WAIT 2\n', ""MouseAndKeyboardSendKeysFocusAndSendKeys TextToSend: '{LShiftKey}(B)ier{Back}{Back}rd{Space}{LShiftKey}(S)ou8n{Back}{Back}nd{Space}{LShiftKey}(F)eed{Back}'\n""]",52,Publish the audio file as new podcast,728ce318-7630-481a-8335-8a9bdfbe973e,5632,MouseAndKeyboardSendKeysFocusAndSendKeys,Office365users/rss/sql,Office365users
48,71f08b93-9b5d-ec11-8f8f-002248302895,66d72ce9-815c-ec11-8f8f-002248302213,2021-12-15T11:44:33+00:00,Click UI element in window,Spinner in Pane 'Microsoft 365    Chrome (Guest)',chrome,Microsoft 365 admin center - Home - Google Chrome (Guest),"[""UIAutomationClick Element: appmask['Pane \\'Microsoft 365    Chrome (Guest)\\'']['Spinner'] ClickType: UIAutomationClickTypeLeftClick OffsetX: -94 OffsetY: -5 MousePositionRelativeToElement: UIAutomationRectangleEdgePointMiddleRight\n""]",53,Publish the audio file as new podcast,728ce318-7630-481a-8335-8a9bdfbe973e,5633,chromeClick UI element in window,Office365users/rss/sql,Office365users
49,71f08b93-9b5d-ec11-8f8f-002248302895,66d72ce9-815c-ec11-8f8f-002248302213,2021-12-15T11:44:36+00:00,MouseAndKeyboardSendKeysFocusAndSendKeys,TextToSend:'1',,,"['WAIT 2\n', ""MouseAndKeyboardSendKeysFocusAndSendKeys TextToSend: '1'\n""]",54,Publish the audio file as new podcast,728ce318-7630-481a-8335-8a9bdfbe973e,5634,MouseAndKeyboardSendKeysFocusAndSendKeys,Office365users/rss/sql,Office365users
