StepId,RecordingId,ProcessId,TimeStamp,StepName,StepDescription,ApplicationProcessName,ApplicationParentWindowName,automation_step,NextStepId,label_EventName,label_EventId,rows,ApplicationProcessNameStepName,Process_Name,Connectors
6,f2dcd9d4-6b8d-ec11-b400-0022482f8fe5,5520dd19-5385-ec11-8d21-000d3a5712fa,2022-02-14T08:04:12+00:00,Press button in window,Google Chrome - 1 running window in Quick Launch Bar,,,"[""UIAutomationPressButton Button: appmask['Quick Launch Bar']['Google Chrome - 1 running window']\n""]",8,Share via mail,2d2af9b0-aa5b-48cd-814b-952cf5ea2c33,4128,Press button in window,approvals/sendmail,sendmail
7,f2dcd9d4-6b8d-ec11-b400-0022482f8fe5,5520dd19-5385-ec11-8d21-000d3a5712fa,2022-02-14T08:04:23+00:00,Populate text field in window,Edit 'Address and search bar' in Pane 'New Tab - Google Chrome - Person 1'; Text:'outlook',chrome,New Tab - Google Chrome - Person 1,"[""UIAutomationPopulateTextField TextField: appmask['Pane \\'New Tab - Google Chrome - Person 1\\'']['Edit \\'Address and search bar\\''] Text: 'outlook' Mode: UIAutomationPopulateTextModeReplace ClickType: UIAutomationPopulateMouseClickTypeSingleClick\n""]",9,Share via mail,2d2af9b0-aa5b-48cd-814b-952cf5ea2c33,4129,chromePopulate text field in window,approvals/sendmail,sendmail
8,f2dcd9d4-6b8d-ec11-b400-0022482f8fe5,5520dd19-5385-ec11-8d21-000d3a5712fa,2022-02-14T08:04:24+00:00,Send keys,TextToSend:'{Return}',,,"['WAIT 2\n', ""MouseAndKeyboardSendKeys TextToSend: '{Return}'\n""]",10,Share via mail,2d2af9b0-aa5b-48cd-814b-952cf5ea2c33,4130,Send keys,approvals/sendmail,sendmail
9,f2dcd9d4-6b8d-ec11-b400-0022482f8fe5,5520dd19-5385-ec11-8d21-000d3a5712fa,2022-02-14T08:04:27+00:00,Click UI element in window,Hyperlink ' Outlook   klivecom' in Pane 'New Tab - Google Chrome - Person 1',chrome,New Tab - Google Chrome - Person 1,"[""UIAutomationClick Element: appmask['Pane \\'New Tab - Google Chrome - Person 1\\'']['Hyperlink \\' Outlook   klivecom\\''] ClickType: UIAutomationClickTypeLeftClick OffsetX: -56 OffsetY: 0 MousePositionRelativeToElement: UIAutomationRectangleEdgePointMiddleCenter\n""]",11,Share via mail,2d2af9b0-aa5b-48cd-814b-952cf5ea2c33,4131,chromeClick UI element in window,approvals/sendmail,sendmail
10,f2dcd9d4-6b8d-ec11-b400-0022482f8fe5,5520dd19-5385-ec11-8d21-000d3a5712fa,2022-02-14T08:04:36+00:00,Press button in window,Button 'New message' in Pane 'New Tab - Google Chrome - Person 1',chrome,New Tab - Google Chrome - Person 1,"[""UIAutomationPressButton Button: appmask['Pane \\'New Tab - Google Chrome - Person 1\\'']['Button \\'New message\\'']\n""]",12,Share via mail,2d2af9b0-aa5b-48cd-814b-952cf5ea2c33,4132,chromePress button in window,approvals/sendmail,sendmail
11,f2dcd9d4-6b8d-ec11-b400-0022482f8fe5,5520dd19-5385-ec11-8d21-000d3a5712fa,2022-02-14T08:04:41+00:00,Click UI element in window,Combo Box 'To' in Pane 'New Tab - Google Chrome - Person 1',chrome,New Tab - Google Chrome - Person 1,"[""UIAutomationClick Element: appmask['Pane \\'New Tab - Google Chrome - Person 1\\'']['Combo Box \\'To\\''] ClickType: UIAutomationClickTypeLeftClick OffsetX: 38 OffsetY: -10 MousePositionRelativeToElement: UIAutomationRectangleEdgePointBottomLeft\n""]",13,Share via mail,2d2af9b0-aa5b-48cd-814b-952cf5ea2c33,4133,chromeClick UI element in window,approvals/sendmail,sendmail
12,f2dcd9d4-6b8d-ec11-b400-0022482f8fe5,5520dd19-5385-ec11-8d21-000d3a5712fa,2022-02-14T08:04:43+00:00,Send keys,TextToSend:'Username{Back}{Back}{Back}nita',,,"['WAIT 2\n', ""MouseAndKeyboardSendKeys TextToSend: 'Username{Back}{Back}{Back}nita'\n""]",14,Share via mail,2d2af9b0-aa5b-48cd-814b-952cf5ea2c33,4134,Send keys,approvals/sendmail,sendmail
13,f2dcd9d4-6b8d-ec11-b400-0022482f8fe5,5520dd19-5385-ec11-8d21-000d3a5712fa,2022-02-14T08:04:50+00:00,Click UI element in window,List Item 'Name (Email@Domain)' in Pane 'New Tab - Google Chrome - Person 1',chrome,New Tab - Google Chrome - Person 1,"[""UIAutomationClick Element: appmask['Pane \\'New Tab - Google Chrome - Person 1\\'']['List Item \\'Name (Email@Domain)\\''] ClickType: UIAutomationClickTypeLeftClick OffsetX: -24 OffsetY: 9 MousePositionRelativeToElement: UIAutomationRectangleEdgePointTopCenter\n""]",15,Share via mail,2d2af9b0-aa5b-48cd-814b-952cf5ea2c33,4135,chromeClick UI element in window,approvals/sendmail,sendmail
14,f2dcd9d4-6b8d-ec11-b400-0022482f8fe5,5520dd19-5385-ec11-8d21-000d3a5712fa,2022-02-14T08:04:52+00:00,Send keys,TextToSend:'Name{Back}l{LShiftKey}(@)my{Back}{Back}{Back}{Back}',,,"['WAIT 2\n', ""MouseAndKeyboardSendKeys TextToSend: 'Name{Back}l{LShiftKey}(@)my{Back}{Back}{Back}{Back}'\n""]",16,Share via mail,2d2af9b0-aa5b-48cd-814b-952cf5ea2c33,4136,Send keys,approvals/sendmail,sendmail
15,f2dcd9d4-6b8d-ec11-b400-0022482f8fe5,5520dd19-5385-ec11-8d21-000d3a5712fa,2022-02-14T08:05:27+00:00,Click UI element in window,List Item 'Email@Domain (Email@Domain)' in Pane 'New Tab - Google Chrome - Person 1',chrome,New Tab - Google Chrome - Person 1,"[""UIAutomationClick Element: appmask['Pane \\'New Tab - Google Chrome - Person 1\\'']['List Item \\'Email@Domain (Email@Domain)\\''] ClickType: UIAutomationClickTypeLeftClick OffsetX: 41 OffsetY: -5 MousePositionRelativeToElement: UIAutomationRectangleEdgePointMiddleLeft\n""]",17,Share via mail,2d2af9b0-aa5b-48cd-814b-952cf5ea2c33,4137,chromeClick UI element in window,approvals/sendmail,sendmail
16,f2dcd9d4-6b8d-ec11-b400-0022482f8fe5,5520dd19-5385-ec11-8d21-000d3a5712fa,2022-02-14T08:05:35+00:00,Populate text field in window,Edit 'Add a subject' in Pane 'New Tab - Google Chrome - Person 1'; Text:'Project Manual',chrome,New Tab - Google Chrome - Person 1,"[""UIAutomationPopulateTextField TextField: appmask['Pane \\'New Tab - Google Chrome - Person 1\\'']['Edit \\'Add a subject\\''] Text: 'Project Manual' Mode: UIAutomationPopulateTextModeReplace ClickType: UIAutomationPopulateMouseClickTypeSingleClick\n""]",18,Share via mail,2d2af9b0-aa5b-48cd-814b-952cf5ea2c33,4138,chromePopulate text field in window,approvals/sendmail,sendmail
17,f2dcd9d4-6b8d-ec11-b400-0022482f8fe5,5520dd19-5385-ec11-8d21-000d3a5712fa,2022-02-14T08:05:44+00:00,Populate text field in window,"Edit 'Message body' in Pane 'New Tab - Google Chrome - Person 1'; Text:'Hello,'",chrome,New Tab - Google Chrome - Person 1,"[""UIAutomationPopulateTextField TextField: appmask['Pane \\'New Tab - Google Chrome - Person 1\\'']['Edit \\'Message body\\''] Text: 'Hello,' Mode: UIAutomationPopulateTextModeReplace ClickType: UIAutomationPopulateMouseClickTypeSingleClick\n"", 'WAIT 2\n', ""MouseAndKeyboardSendKeys TextToSend: '{Return}'\n""]",19,Share via mail,2d2af9b0-aa5b-48cd-814b-952cf5ea2c33,4139,chromePopulate text field in window,approvals/sendmail,sendmail
