StepId,RecordingId,ProcessId,TimeStamp,StepName,StepDescription,ApplicationProcessName,ApplicationParentWindowName,automation_step,NextStepId,label_EventName,label_EventId,rows,ApplicationProcessNameStepName,Process_Name,Connectors
0,79aa3f24-ce92-ec11-b400-000d3a14d9b2,bfb58aca-5585-ec11-8d21-000d3a571ab5,2022-02-21T04:49:38+00:00,Select menu option in window,Microsoft Edge (2) - 2 running windows in Quick Launch Bar,,,"[""UIAutomationSelectMenuOption Control: appmask['Quick Launch Bar']['Microsoft Edge (2) - 2 running windows']\n""]",2,Login to collaborative tool,ee231ce8-3f11-4dc8-9a56-1dfbff322b09,657,Select menu option in window,sharepoint/approvals/googlecalendar,Sharepoint
1,79aa3f24-ce92-ec11-b400-000d3a14d9b2,bfb58aca-5585-ec11-8d21-000d3a571ab5,2022-02-21T04:49:42+00:00,Click UI element in window,List Item 'New tab    - Microsoftâ€‹ Edge' in List 'Task Switcher',,Task Switcher,"[""UIAutomationClick Element: appmask['List \\'Task Switcher\\'']['List Item \\'New tab    - Microsoft\u200b Edge\\''] ClickType: UIAutomationClickTypeLeftClick OffsetX: 29 OffsetY: 9 MousePositionRelativeToElement: UIAutomationRectangleEdgePointMiddleLeft\n""]",3,Login to collaborative tool,ee231ce8-3f11-4dc8-9a56-1dfbff322b09,658,Click UI element in window,sharepoint/approvals/googlecalendar,Sharepoint
2,79aa3f24-ce92-ec11-b400-000d3a14d9b2,bfb58aca-5585-ec11-8d21-000d3a571ab5,2022-02-21T04:49:51+00:00,Populate text field in window,Edit 'Address and search bar' in Window 'New tab and    - Microsoftâ€‹ Edge'; Text:'sharepoint login',msedge,New tab and 1 more page - [InPrivate] - Microsoftâ€‹ Edge,"[""UIAutomationPopulateTextField TextField: appmask['Window \\'New tab and    - Microsoft\u200b Edge\\'']['Edit \\'Address and search bar\\''] Text: 'sharepoint login' Mode: UIAutomationPopulateTextModeReplace ClickType: UIAutomationPopulateMouseClickTypeSingleClick\n""]",4,Login to collaborative tool,ee231ce8-3f11-4dc8-9a56-1dfbff322b09,659,msedgePopulate text field in window,sharepoint/approvals/googlecalendar,Sharepoint
3,79aa3f24-ce92-ec11-b400-000d3a14d9b2,bfb58aca-5585-ec11-8d21-000d3a571ab5,2022-02-21T04:49:52+00:00,Send keys,TextToSend:'{Return}',,,"['WAIT 2\n', ""MouseAndKeyboardSendKeys TextToSend: '{Return}'\n""]",5,Login to collaborative tool,ee231ce8-3f11-4dc8-9a56-1dfbff322b09,660,Send keys,sharepoint/approvals/googlecalendar,Sharepoint
4,79aa3f24-ce92-ec11-b400-000d3a14d9b2,bfb58aca-5585-ec11-8d21-000d3a571ab5,2022-02-21T04:49:56+00:00,Click UI element in window,Hyperlink 'Office 365 login' in Window 'sharepoint    - Microsoftâ€‹ Edge',msedge,sharepoint login - Search and 1 more page - [InPrivate] - Microsoftâ€‹ Edge,"[""UIAutomationClick Element: appmask['Window \\'sharepoint    - Microsoft\u200b Edge\\'']['Hyperlink \\'Office 365 login\\''] ClickType: UIAutomationClickTypeLeftClick OffsetX: -40 OffsetY: -2 MousePositionRelativeToElement: UIAutomationRectangleEdgePointMiddleRight\n""]",6,Login to collaborative tool,ee231ce8-3f11-4dc8-9a56-1dfbff322b09,661,msedgeClick UI element in window,sharepoint/approvals/googlecalendar,Sharepoint
5,79aa3f24-ce92-ec11-b400-000d3a14d9b2,bfb58aca-5585-ec11-8d21-000d3a571ab5,2022-02-21T04:50:01+00:00,Click UI element in window,Hyperlink 'SharePoint' in Window 'Microsoft    - Microsoftâ€‹ Edge',msedge,Microsoft Office Home and 2 more pages - [InPrivate] - Microsoftâ€‹ Edge,"[""UIAutomationClick Element: appmask['Window \\'Microsoft    - Microsoft\u200b Edge\\'']['Hyperlink \\'SharePoint\\''] ClickType: UIAutomationClickTypeLeftClick OffsetX: 2 OffsetY: 0 MousePositionRelativeToElement: UIAutomationRectangleEdgePointMiddleCenter\n""]",7,Login to collaborative tool,ee231ce8-3f11-4dc8-9a56-1dfbff322b09,662,msedgeClick UI element in window,sharepoint/approvals/googlecalendar,Sharepoint
6,79aa3f24-ce92-ec11-b400-000d3a14d9b2,bfb58aca-5585-ec11-8d21-000d3a571ab5,2022-02-21T04:50:08+00:00,Click UI element in window,Hyperlink 'Project RoadMap' in Window 'SharePoint    - Microsoftâ€‹ Edge' 2,msedge,SharePoint and 3 more pages - [InPrivate] - Microsoftâ€‹ Edge,"[""UIAutomationClick Element: appmask['Window \\'SharePoint    - Microsoft\u200b Edge\\' 2']['Hyperlink \\'Project RoadMap\\''] ClickType: UIAutomationClickTypeLeftClick OffsetX: 3 OffsetY: 1 MousePositionRelativeToElement: UIAutomationRectangleEdgePointMiddleCenter\n""]",8,Copy the link,765f010a-aecb-4153-b185-57378e09ee47,663,msedgeClick UI element in window,sharepoint/approvals/googlecalendar,Sharepoint
7,79aa3f24-ce92-ec11-b400-000d3a14d9b2,bfb58aca-5585-ec11-8d21-000d3a571ab5,2022-02-21T04:50:34+00:00,Click UI element in window,Hyperlink 'Shared    about an hour ago' in Window 'Project    - Microsoftâ€‹ Edge',msedge,Project RoadMap - Home and 3 more pages - [InPrivate] - Microsoftâ€‹ Edge,"[""UIAutomationClick Element: appmask['Window \\'Project    - Microsoft\u200b Edge\\'']['Hyperlink \\'Shared    about an hour ago\\''] ClickType: UIAutomationClickTypeRightClick OffsetX: -81 OffsetY: 79 MousePositionRelativeToElement: UIAutomationRectangleEdgePointTopRight\n""]",9,Copy the link,765f010a-aecb-4153-b185-57378e09ee47,664,msedgeClick UI element in window,sharepoint/approvals/googlecalendar,Sharepoint
8,79aa3f24-ce92-ec11-b400-000d3a14d9b2,bfb58aca-5585-ec11-8d21-000d3a571ab5,2022-02-21T04:50:38+00:00,Click UI element in window,Hyperlink 'Shared    about an hour ago' in Window 'Project    - Microsoftâ€‹ Edge',msedge,Project RoadMap - Home and 3 more pages - [InPrivate] - Microsoftâ€‹ Edge,"[""UIAutomationClick Element: appmask['Window \\'Project    - Microsoft\u200b Edge\\'']['Hyperlink \\'Shared    about an hour ago\\''] ClickType: UIAutomationClickTypeLeftClick OffsetX: 0 OffsetY: -19 MousePositionRelativeToElement: UIAutomationRectangleEdgePointMiddleCenter\n""]",10,Copy the link,765f010a-aecb-4153-b185-57378e09ee47,665,msedgeClick UI element in window,sharepoint/approvals/googlecalendar,Sharepoint
9,79aa3f24-ce92-ec11-b400-000d3a14d9b2,bfb58aca-5585-ec11-8d21-000d3a571ab5,2022-02-21T04:50:46+00:00,Press button in window,Button 'Share' in Window 'Firefighting    - Microsoftâ€‹ Edge',msedge,Firefighting mockdrill agendadocx and 3 more pages - [InPrivate] - Microsoftâ€‹ Edge,"[""UIAutomationPressButton Button: appmask['Window \\'Firefighting    - Microsoft\u200b Edge\\'']['Button \\'Share\\'']\n""]",11,Copy the link,765f010a-aecb-4153-b185-57378e09ee47,666,msedgePress button in window,sharepoint/approvals/googlecalendar,Sharepoint
10,79aa3f24-ce92-ec11-b400-000d3a14d9b2,bfb58aca-5585-ec11-8d21-000d3a571ab5,2022-02-21T04:50:49+00:00,Press button in window,Button 'Copy' in Window 'Firefighting    - Microsoftâ€‹ Edge',msedge,Firefighting mockdrill agendadocx and 3 more pages - [InPrivate] - Microsoftâ€‹ Edge,"[""UIAutomationPressButton Button: appmask['Window \\'Firefighting    - Microsoft\u200b Edge\\'']['Button \\'Copy\\'']\n""]",12,Copy the link,765f010a-aecb-4153-b185-57378e09ee47,667,msedgePress button in window,sharepoint/approvals/googlecalendar,Sharepoint
