StepId,RecordingId,ProcessId,TimeStamp,StepName,StepDescription,ApplicationProcessName,ApplicationParentWindowName,automation_step,NextStepId,label_EventName,label_EventId,rows,ApplicationProcessNameStepName,Process_Name,Connectors
18,0a829333-e192-ec11-b400-000d3a14d7bb,02b6321f-5685-ec11-8d21-000d3a571ab5,2022-02-21T06:44:04+00:00,Click UI element in window,Text 'Event' in Pane 'New Tab - Google Chrome - Name',chrome,New Tab - Google Chrome - Name,"[""UIAutomationClick Element: appmask['Pane \\'New Tab - Google Chrome - Name\\'']['Text \\'Event\\''] ClickType: UIAutomationClickTypeLeftButtonUp OffsetX: -5 OffsetY: -2 MousePositionRelativeToElement: UIAutomationRectangleEdgePointMiddleCenter\n""]",20,Set the Event in the calendar,b16c375d-4854-4cb3-8596-b39f21af4a1a,72,chromeClick UI element in window,sharepoint/googlecalendar/wordonlinebusiness,Googlecalendar
19,0a829333-e192-ec11-b400-000d3a14d7bb,02b6321f-5685-ec11-8d21-000d3a571ab5,2022-02-21T06:44:24+00:00,Populate text field in window,Edit 'Add title' in Pane 'New Tab - Google Chrome - Name'; Text:'Meeting with CEO on project A',chrome,New Tab - Google Chrome - Name,"[""UIAutomationPopulateTextField TextField: appmask['Pane \\'New Tab - Google Chrome - Name\\'']['Edit \\'Add title\\''] Text: 'Meeting with CEO on project A' Mode: UIAutomationPopulateTextModeReplace ClickType: UIAutomationPopulateMouseClickTypeSingleClick\n""]",21,Set the Event in the calendar,b16c375d-4854-4cb3-8596-b39f21af4a1a,73,chromePopulate text field in window,sharepoint/googlecalendar/wordonlinebusiness,Googlecalendar
20,0a829333-e192-ec11-b400-000d3a14d7bb,02b6321f-5685-ec11-8d21-000d3a571ab5,2022-02-21T06:44:32+00:00,Click UI element in window,"Button 'Friday,    not repeat' in Pane 'New Tab - Google Chrome - Name'",chrome,New Tab - Google Chrome - Name,"[""UIAutomationClick Element: appmask['Pane \\'New Tab - Google Chrome - Name\\'']['Button \\'Friday,    not repeat\\''] ClickType: UIAutomationClickTypeLeftButtonUp OffsetX: 82 OffsetY: 0 MousePositionRelativeToElement: UIAutomationRectangleEdgePointMiddleLeft\n""]",22,Set the Event in the calendar,b16c375d-4854-4cb3-8596-b39f21af4a1a,74,chromeClick UI element in window,sharepoint/googlecalendar/wordonlinebusiness,Googlecalendar
21,0a829333-e192-ec11-b400-000d3a14d7bb,02b6321f-5685-ec11-8d21-000d3a571ab5,2022-02-21T06:44:37+00:00,Click UI element in window,Button 'Save' in Pane 'New Tab - Google Chrome - Name',chrome,New Tab - Google Chrome - Name,"[""UIAutomationClick Element: appmask['Pane \\'New Tab - Google Chrome - Name\\'']['Button \\'Save\\''] ClickType: UIAutomationClickTypeLeftButtonUp OffsetX: -8 OffsetY: 9 MousePositionRelativeToElement: UIAutomationRectangleEdgePointTopCenter\n""]",,Set the Event in the calendar,b16c375d-4854-4cb3-8596-b39f21af4a1a,75,chromeClick UI element in window,sharepoint/googlecalendar/wordonlinebusiness,Googlecalendar
13,ac47fd86-e292-ec11-b400-000d3a14d7bb,02b6321f-5685-ec11-8d21-000d3a571ab5,2022-02-21T06:52:39+00:00,Press button in window,Outlook 2013 - 1 running window in Quick Launch Bar,,,"[""UIAutomationPressButton Button: appmask['Quick Launch Bar']['Outlook 2013 - 1 running window']\n""]",16,Open the calendar,11950e67-8f0e-4f40-bb3f-791c623ae770,89,Press button in window,sharepoint/googlecalendar/wordonlinebusiness,Googlecalendar
14,ac47fd86-e292-ec11-b400-000d3a14d7bb,02b6321f-5685-ec11-8d21-000d3a571ab5,2022-02-21T06:52:41+00:00,Press button in window,Button 'Calendar' in Window 'Inbox - Email@Domain - Outlook',OUTLOOK,Inbox - Email@Domain - Outlook,"[""UIAutomationPressButton Button: appmask['Window \\'Inbox - Email@Domain - Outlook\\'']['Button \\'Calendar\\'']\n""]",17,Open the calendar,11950e67-8f0e-4f40-bb3f-791c623ae770,90,OUTLOOKPress button in window,sharepoint/googlecalendar/wordonlinebusiness,Googlecalendar
15,ac47fd86-e292-ec11-b400-000d3a14d7bb,02b6321f-5685-ec11-8d21-000d3a571ab5,2022-02-21T06:52:48+00:00,Click UI element in window,"List 'Month View, 31    March 2022 12:00am' in Window 'Calendar - Email@Domain - Outlook'",OUTLOOK,Calendar - Email@Domain - Outlook,"[""UIAutomationClick Element: appmask['Window \\'Calendar - Email@Domain - Outlook\\'']['List \\'Month View, 31    March 2022 12:00am\\''] ClickType: UIAutomationClickTypeRightClick OffsetX: -245 OffsetY: 95 MousePositionRelativeToElement: UIAutomationRectangleEdgePointMiddleRight\n""]",18,Open the calendar,a0c72e50-607c-406f-b230-ba1a0cbbbff8,91,OUTLOOKClick UI element in window,sharepoint/googlecalendar/wordonlinebusiness,Googlecalendar
16,ac47fd86-e292-ec11-b400-000d3a14d7bb,02b6321f-5685-ec11-8d21-000d3a571ab5,2022-02-21T06:53:00+00:00,Select menu option in window,Menu Item 'New Appointment' in Window 'Calendar - Email@Domain - Outlook',OUTLOOK,Calendar - Email@Domain - Outlook,"[""UIAutomationSelectMenuOption Control: appmask['Window \\'Calendar - Email@Domain - Outlook\\'']['Menu Item \\'New Appointment\\'']\n""]",19,Schedule a meeting on suitable date,a0c72e50-607c-406f-b230-ba1a0cbbbff8,92,OUTLOOKSelect menu option in window,sharepoint/googlecalendar/wordonlinebusiness,Googlecalendar
17,ac47fd86-e292-ec11-b400-000d3a14d7bb,02b6321f-5685-ec11-8d21-000d3a571ab5,2022-02-21T06:53:05+00:00,Click UI element in window,Document 'Subject' in Window 'Untitled - Appointment  ',OUTLOOK,Untitled - Appointment  ,"[""UIAutomationClick Element: appmask['Window \\'Untitled - Appointment  \\'']['Document \\'Subject\\''] ClickType: UIAutomationClickTypeLeftClick OffsetX: 31 OffsetY: -3 MousePositionRelativeToElement: UIAutomationRectangleEdgePointMiddleLeft\n""]",20,Schedule a meeting on suitable date,a0c72e50-607c-406f-b230-ba1a0cbbbff8,93,OUTLOOKClick UI element in window,sharepoint/googlecalendar/wordonlinebusiness,Googlecalendar
18,ac47fd86-e292-ec11-b400-000d3a14d7bb,02b6321f-5685-ec11-8d21-000d3a571ab5,2022-02-21T06:53:07+00:00,Send keys,TextToSend:'{LShiftKey}(F)eedbcak {Back}{Back}{Back}{Back}ack diss{Back}cussion session with {LShiftKey}(CEO)',,,"['WAIT 2\n', ""MouseAndKeyboardSendKeys TextToSend: '{LShiftKey}(F)eedbcak{Space}{Back}{Back}{Back}{Back}ack{Space}diss{Back}cussion{Space}session{Space}with{Space}{LShiftKey}(CEO)'\n""]",21,Schedule a meeting on suitable date,a0c72e50-607c-406f-b230-ba1a0cbbbff8,94,Send keys,sharepoint/googlecalendar/wordonlinebusiness,Googlecalendar
