StepId,RecordingId,ProcessId,TimeStamp,StepName,StepDescription,ApplicationProcessName,ApplicationParentWindowName,automation_step,NextStepId,label_EventName,label_EventId,rows,ApplicationProcessNameStepName,Process_Name,Connectors
14,71f08b93-9b5d-ec11-8f8f-002248302895,66d72ce9-815c-ec11-8f8f-002248302213,2021-12-15T11:41:18+00:00,Press button in window,Google Chrome - 1 running window 2 in Quick Launch Bar,,,"[""UIAutomationPressButton Button: appmask['Quick Launch Bar']['Google Chrome - 1 running window 2']\n""]",17,Connect the database server with podcasting app,33f4956f-680d-49ad-99d4-861f75fbfa45,5599,Press button in window,Office365users/rss/sql,rss
15,71f08b93-9b5d-ec11-8f8f-002248302895,66d72ce9-815c-ec11-8f8f-002248302213,2021-12-15T11:41:22+00:00,Select menu option in window,MenuItem: Create in Pane 'Microsoft 365    Chrome (Guest)',chrome,Microsoft 365 admin center - Home - Google Chrome (Guest),"[""UIAutomationSelectMenuOption Control: appmask['Pane \\'Microsoft 365    Chrome (Guest)\\'']['MenuItem: Create']\n""]",18,Connect the database server with podcasting app,33f4956f-680d-49ad-99d4-861f75fbfa45,5600,chromeSelect menu option in window,Office365users/rss/sql,rss
16,71f08b93-9b5d-ec11-8f8f-002248302895,66d72ce9-815c-ec11-8f8f-002248302213,2021-12-15T11:41:30+00:00,Press button in window,Button 'Automated    a designated event' in Pane 'Microsoft 365    Chrome (Guest)',chrome,Microsoft 365 admin center - Home - Google Chrome (Guest),"[""UIAutomationPressButton Button: appmask['Pane \\'Microsoft 365    Chrome (Guest)\\'']['Button \\'Automated    a designated event\\'']\n""]",19,Connect the database server with podcasting app,33f4956f-680d-49ad-99d4-861f75fbfa45,5601,chromePress button in window,Office365users/rss/sql,rss
17,71f08b93-9b5d-ec11-8f8f-002248302895,66d72ce9-815c-ec11-8f8f-002248302213,2021-12-15T11:41:38+00:00,Populate text field in window,Edit 'Flow name' in Pane 'Microsoft 365    Chrome (Guest)'; Text:'DemoRSS',chrome,Microsoft 365 admin center - Home - Google Chrome (Guest),"[""UIAutomationPopulateTextField TextField: appmask['Pane \\'Microsoft 365    Chrome (Guest)\\'']['Edit \\'Flow name\\''] Text: 'DemoRSS' Mode: UIAutomationPopulateTextModeReplace ClickType: UIAutomationPopulateMouseClickTypeSingleClick\n""]",20,Connect the database server with podcasting app,33f4956f-680d-49ad-99d4-861f75fbfa45,5602,chromePopulate text field in window,Office365users/rss/sql,rss
18,71f08b93-9b5d-ec11-8f8f-002248302895,66d72ce9-815c-ec11-8f8f-002248302213,2021-12-15T11:41:41+00:00,Populate text field in window,Edit 'Choose your trigger by searching' in Pane 'Microsoft 365    Chrome (Guest)'; Text:'rss',chrome,Microsoft 365 admin center - Home - Google Chrome (Guest),"[""UIAutomationPopulateTextField TextField: appmask['Pane \\'Microsoft 365    Chrome (Guest)\\'']['Edit \\'Choose your trigger by searching\\''] Text: 'rss' Mode: UIAutomationPopulateTextModeReplace ClickType: UIAutomationPopulateMouseClickTypeSingleClick\n""]",21,Connect the database server with podcasting app,33f4956f-680d-49ad-99d4-861f75fbfa45,5603,chromePopulate text field in window,Office365users/rss/sql,rss
19,71f08b93-9b5d-ec11-8f8f-002248302895,66d72ce9-815c-ec11-8f8f-002248302213,2021-12-15T11:41:45+00:00,Select radio button in window,Radio Button 'Row Selection' in Pane 'Microsoft 365    Chrome (Guest)',chrome,Microsoft 365 admin center - Home - Google Chrome (Guest),"[""UIAutomationSelectRadioButton RadioButton: appmask['Pane \\'Microsoft 365    Chrome (Guest)\\'']['Radio Button \\'Row Selection\\'']\n""]",22,Connect the database server with podcasting app,33f4956f-680d-49ad-99d4-861f75fbfa45,5604,chromeSelect radio button in window,Office365users/rss/sql,rss
20,71f08b93-9b5d-ec11-8f8f-002248302895,66d72ce9-815c-ec11-8f8f-002248302213,2021-12-15T11:41:53+00:00,Click UI element in window,Hyperlink 'Create' in Pane 'Microsoft 365    Chrome (Guest)',chrome,Microsoft 365 admin center - Home - Google Chrome (Guest),"[""UIAutomationClick Element: appmask['Pane \\'Microsoft 365    Chrome (Guest)\\'']['Hyperlink \\'Create\\''] ClickType: UIAutomationClickTypeLeftClick OffsetX: 14 OffsetY: 0 MousePositionRelativeToElement: UIAutomationRectangleEdgePointMiddleLeft\n""]",24,Connect the database server with podcasting app,33f4956f-680d-49ad-99d4-861f75fbfa45,5605,chromeClick UI element in window,Office365users/rss/sql,rss
21,71f08b93-9b5d-ec11-8f8f-002248302895,66d72ce9-815c-ec11-8f8f-002248302213,2021-12-15T11:42:14+00:00,Click UI element in window,Text 'https://mediarsscom/rssdemo/feedxml' in Pane 'Microsoft 365    Chrome (Guest)',chrome,Microsoft 365 admin center - Home - Google Chrome (Guest),"[""UIAutomationClick Element: appmask['Pane \\'Microsoft 365    Chrome (Guest)\\'']['Text \\'https://mediarsscom/rssdemo/feedxml\\''] ClickType: UIAutomationClickTypeLeftClick OffsetX: 39 OffsetY: 5 MousePositionRelativeToElement: UIAutomationRectangleEdgePointTopCenter\n""]",25,Connect the database server with podcasting app,33f4956f-680d-49ad-99d4-861f75fbfa45,5606,chromeClick UI element in window,Office365users/rss/sql,rss
22,71f08b93-9b5d-ec11-8f8f-002248302895,66d72ce9-815c-ec11-8f8f-002248302213,2021-12-15T11:42:15+00:00,Select tab in window,Tab Item 'Create your flow | Power Automate' in Pane 'Microsoft 365    Chrome (Guest)',chrome,Microsoft 365 admin center - Home - Google Chrome (Guest),"[""UIAutomationSelectTab Tab: appmask['Pane \\'Microsoft 365    Chrome (Guest)\\'']['Tab Item \\'Create your flow | Power Automate\\'']\n""]",26,Connect the database server with podcasting app,33f4956f-680d-49ad-99d4-861f75fbfa45,5607,chromeSelect tab in window,Office365users/rss/sql,rss
23,71f08b93-9b5d-ec11-8f8f-002248302895,66d72ce9-815c-ec11-8f8f-002248302213,2021-12-15T11:42:18+00:00,Click UI element in window,Text 'The RSS feed   riesrss)' in Pane 'Microsoft 365    Chrome (Guest)',chrome,Microsoft 365 admin center - Home - Google Chrome (Guest),"[""UIAutomationClick Element: appmask['Pane \\'Microsoft 365    Chrome (Guest)\\'']['Text \\'The RSS feed   riesrss)\\''] ClickType: UIAutomationClickTypeLeftClick OffsetX: 43 OffsetY: 0 MousePositionRelativeToElement: UIAutomationRectangleEdgePointMiddleLeft\n""]",27,Connect the database server with podcasting app,33f4956f-680d-49ad-99d4-861f75fbfa45,5608,chromeClick UI element in window,Office365users/rss/sql,rss
